Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice
,,,,1906-06-09 12:00,88.602,,,1907-03-30 12:00,269.005,,,1908-05-20 12:00,88.781,,,1909-02-22 12:00,269.078,,,1910-04-29 12:00,88.669,,,1911-01-30 12:00,269.154,,,1912-04-03 12:00,89.052,,,1913-01-08 12:00,268.628,,,1913-09-13 12:00,88.882,,,1914-12-20 12:00,268.918,,,1915-08-17 12:00,88.917,,,1916-11-30 12:00,269.247,,,1917-07-26 12:00,89.028,,,1918-11-09 12:00,268.715,,,1919-07-06 12:00,88.651,,,1920-10-16 12:00,268.665,,,1921-06-17 12:00,89.24,,,1922-09-11 12:00,269.003,,,1923-05-29 12:00,89.232,,,1924-03-04 12:00,268.687,,,1925-05-08 12:00,89.221,,,1926-02-07 12:00,268.992,,,1927-04-14 12:00,88.638,,,1928-01-17 12:00,268.999,,,1928-09-30 12:00,88.971,,,1928-12-24 12:00,88.246,,,1929-03-07 12:00,88.827,,,1929-12-27 12:00,268.706,,,1930-08-26 12:00,88.889,,,1931-12-08 12:00,268.932,,,1932-08-03 12:00,89.261,,,1933-11-17 12:00,268.802,,,1934-07-14 12:00,89.205,,,1935-10-27 12:00,269.224,,
,,,,1906-06-10 12:00,89.27,,,1907-03-31 12:00,269.49,,,1908-05-21 12:00,89.433,,,1909-02-23 12:00,269.749,,,1910-04-30 12:00,89.289,,,1911-01-31 12:00,269.874,,,1912-04-04 12:00,89.589,,,1913-01-09 12:00,269.37,,,1913-09-14 12:00,89.441,,,1914-12-21 12:00,269.671,,,1915-08-18 12:00,89.569,,,1916-12-01 12:00,270.005,,,1917-07-27 12:00,89.701,,,1918-11-10 12:00,269.468,,,1919-07-07 12:00,89.328,,,1920-10-17 12:00,269.39,,,1921-06-18 12:00,89.91,,,1922-09-12 12:00,269.546,,,1923-05-30 12:00,89.891,,,1924-03-05 12:00,269.32,,,1925-05-09 12:00,89.857,,,1926-02-08 12:00,269.697,,,1927-04-15 12:00,89.219,,,1928-01-18 12:00,269.733,,,1928-10-01 12:00,89.397,,,1928-12-25 12:00,87.865,,,1929-03-08 12:00,89.181,,,1929-12-28 12:00,269.456,,,1930-08-27 12:00,89.521,,,1931-12-09 12:00,269.689,,,1932-08-04 12:00,89.928,,,1933-11-18 12:00,269.558,,,1934-07-15 12:00,89.882,,,1935-10-28 12:00,269.965,,
,,,,1906-06-11 12:00,89.936,,,1907-04-01 12:00,269.972,,,1908-05-22 12:00,90.084,,,1909-02-24 12:00,270.42,,,1910-05-01 12:00,89.909,,,1911-02-01 12:00,270.594,,,1912-04-05 12:00,90.128,,,1913-01-10 12:00,270.112,,,1913-09-15 12:00,89.997,,,1914-12-22 12:00,270.425,,,1915-08-19 12:00,90.219,,,1916-12-02 12:00,270.764,,,1917-07-28 12:00,90.372,,,1918-11-11 12:00,270.222,,,1919-07-08 12:00,90.003,,,1920-10-18 12:00,270.116,,,1921-06-19 12:00,90.58,,,1922-09-13 12:00,270.093,,,1923-05-31 12:00,90.55,,,1924-03-06 12:00,269.952,,,1925-05-10 12:00,90.492,,,1926-02-09 12:00,270.403,,,1927-04-16 12:00,89.8,,,1928-01-19 12:00,270.468,,,1928-10-02 12:00,89.816,,,1928-12-26 12:00,87.488,,,1929-03-09 12:00,89.541,,,1929-12-29 12:00,270.206,,,1930-08-28 12:00,90.151,,,1931-12-10 12:00,270.447,,,1932-08-05 12:00,90.595,,,1933-11-19 12:00,270.315,,,1934-07-16 12:00,90.557,,,1935-10-29 12:00,270.707,,
,,,,1906-06-12 12:00,90.603,,,1907-04-02 12:00,270.451,,,1908-05-23 12:00,90.735,,,1909-02-25 12:00,271.09,,,1910-05-02 12:00,90.529,,,1911-02-02 12:00,271.314,,,1912-04-06 12:00,90.669,,,1913-01-11 12:00,270.855,,,1913-09-16 12:00,90.549,,,1914-12-23 12:00,271.18,,,1915-08-20 12:00,90.867,,,1916-12-03 12:00,271.524,,,1917-07-29 12:00,91.043,,,1918-11-12 12:00,270.977,,,1919-07-09 12:00,90.678,,,1920-10-19 12:00,270.844,,,1921-06-20 12:00,91.25,,,1922-09-14 12:00,270.646,,,1923-06-01 12:00,91.207,,,1924-03-07 12:00,270.583,,,1925-05-11 12:00,91.127,,,1926-02-10 12:00,271.109,,,1927-04-17 12:00,90.383,,,1928-01-20 12:00,271.204,,,1928-10-03 12:00,90.229,,,1928-12-27 12:00,87.118,,,1929-03-10 12:00,89.906,,,1929-12-30 12:00,270.957,,,1930-08-29 12:00,90.78,,,1931-12-11 12:00,271.206,,,1932-08-06 12:00,91.26,,,1933-11-20 12:00,271.073,,,1934-07-17 12:00,91.231,,,1935-10-30 12:00,271.451,,
,,,,1906-06-13 12:00,91.268,,,1907-04-03 12:00,270.926,,,1908-05-24 12:00,91.385,,,1909-02-26 12:00,271.761,,,1910-05-03 12:00,91.149,,,1911-02-03 12:00,272.035,,,1912-04-07 12:00,91.211,,,1913-01-12 12:00,271.598,,,1913-09-17 12:00,91.098,,,1914-12-24 12:00,271.936,,,1915-08-21 12:00,91.514,,,1916-12-04 12:00,272.285,,,1917-07-30 12:00,91.713,,,1918-11-13 12:00,271.733,,,1919-07-10 12:00,91.352,,,1920-10-20 12:00,271.573,,,1921-06-21 12:00,91.919,,,1922-09-15 12:00,271.204,,,1923-06-02 12:00,91.865,,,1924-03-08 12:00,271.214,,,1925-05-12 12:00,91.762,,,1926-02-11 12:00,271.815,,,1927-04-18 12:00,90.966,,,1928-01-21 12:00,271.94,,,1928-10-04 12:00,90.635,,,1928-12-28 12:00,86.753,,,1929-03-11 12:00,90.276,,,1929-12-31 12:00,271.709,,,1930-08-30 12:00,91.406,,,1931-12-12 12:00,271.965,,,1932-08-07 12:00,91.925,,,1933-11-21 12:00,271.832,,,1934-07-18 12:00,91.905,,,1935-10-31 12:00,272.196,,
,,,,1906-06-14 12:00,91.933,,,1907-04-04 12:00,271.398,,,1908-05-25 12:00,92.036,,,1909-02-27 12:00,272.432,,,1910-05-04 12:00,91.77,,,1911-02-04 12:00,272.756,,,1912-04-08 12:00,91.754,,,1913-01-13 12:00,272.342,,,1913-09-18 12:00,91.643,,,1914-12-25 12:00,272.692,,,1915-08-22 12:00,92.16,,,1916-12-05 12:00,273.046,,,1917-07-31 12:00,92.381,,,1918-11-14 12:00,272.489,,,1919-07-11 12:00,92.025,,,1920-10-21 12:00,272.304,,,1921-06-22 12:00,92.587,,,1922-09-16 12:00,271.766,,,1923-06-03 12:00,92.522,,,1924-03-09 12:00,271.844,,,1925-05-13 12:00,92.397,,,1926-02-12 12:00,272.522,,,1927-04-19 12:00,91.549,,,1928-01-22 12:00,272.677,,,1928-10-05 12:00,91.034,,,1928-12-29 12:00,86.396,,,1929-03-12 12:00,90.651,,,1930-01-01 12:00,272.461,,,1930-08-31 12:00,92.03,,,1931-12-13 12:00,272.725,,,1932-08-08 12:00,92.588,,,1933-11-22 12:00,272.592,,,1934-07-19 12:00,92.578,,,1935-11-01 12:00,272.941,,
,,,,1906-06-15 12:00,92.598,,,1907-04-05 12:00,271.866,,,1908-05-26 12:00,92.685,,,1909-02-28 12:00,273.102,,,1910-05-05 12:00,92.39,,,1911-02-05 12:00,273.478,,,1912-04-09 12:00,92.299,,,1913-01-14 12:00,273.087,,,1913-09-19 12:00,92.185,,,1914-12-26 12:00,273.449,,,1915-08-23 12:00,92.804,,,1916-12-06 12:00,273.809,,,1917-08-01 12:00,93.049,,,1918-11-15 12:00,273.247,,,1919-07-12 12:00,92.698,,,1920-10-22 12:00,273.036,,,1921-06-23 12:00,93.255,,,1922-09-17 12:00,272.333,,,1923-06-04 12:00,93.179,,,1924-03-10 12:00,272.474,,,1925-05-14 12:00,93.031,,,1926-02-13 12:00,273.23,,,1927-04-20 12:00,92.133,,,1928-01-23 12:00,273.415,,,1928-10-06 12:00,91.426,,,1928-12-30 12:00,86.046,,,1929-03-13 12:00,91.032,,,1930-01-02 12:00,273.214,,,1930-09-01 12:00,92.653,,,1931-12-14 12:00,273.486,,,1932-08-09 12:00,93.25,,,1933-11-23 12:00,273.353,,,1934-07-20 12:00,93.25,,,1935-11-02 12:00,273.688,,
,,,,1906-06-16 12:00,93.262,,,1907-04-06 12:00,272.331,,,1908-05-27 12:00,93.335,,,1909-03-01 12:00,273.773,,,1910-05-06 12:00,93.01,,,1911-02-06 12:00,274.201,,,1912-04-10 12:00,92.845,,,1913-01-15 12:00,273.832,,,1913-09-20 12:00,92.722,,,1914-12-27 12:00,274.207,,,1915-08-24 12:00,93.446,,,1916-12-07 12:00,274.572,,,1917-08-02 12:00,93.715,,,1918-11-16 12:00,274.006,,,1919-07-13 12:00,93.369,,,1920-10-23 12:00,273.769,,,1921-06-24 12:00,93.922,,,1922-09-18 12:00,272.904,,,1923-06-05 12:00,93.835,,,1924-03-11 12:00,273.103,,,1925-05-15 12:00,93.666,,,1926-02-14 12:00,273.937,,,1927-04-21 12:00,92.718,,,1928-01-24 12:00,274.153,,,1928-10-07 12:00,91.81,,,1928-12-31 12:00,85.705,,,1929-03-14 12:00,91.417,,,1930-01-03 12:00,273.968,,,1930-09-02 12:00,93.273,,,1931-12-15 12:00,274.248,,,1932-08-10 12:00,93.91,,,1933-11-24 12:00,274.114,,,1934-07-21 12:00,93.921,,,1935-11-03 12:00,274.437,,
,,,,1906-06-17 12:00,93.926,,,1907-04-07 12:00,272.792,,,1908-05-28 12:00,93.984,,,1909-03-02 12:00,274.444,,,1910-05-07 12:00,93.631,,,1911-02-07 12:00,274.924,,,1912-04-11 12:00,93.392,,,1913-01-16 12:00,274.578,,,1913-09-21 12:00,93.256,,,1914-12-28 12:00,274.966,,,1915-08-25 12:00,94.087,,,1916-12-08 12:00,275.336,,,1917-08-03 12:00,94.381,,,1918-11-17 12:00,274.765,,,1919-07-14 12:00,94.04,,,1920-10-24 12:00,274.503,,,1921-06-25 12:00,94.588,,,1922-09-19 12:00,273.48,,,1923-06-06 12:00,94.49,,,1924-03-12 12:00,273.732,,,1925-05-16 12:00,94.3,,,1926-02-15 12:00,274.645,,,1927-04-22 12:00,93.303,,,1928-01-25 12:00,274.891,,,1928-10-08 12:00,92.187,,,1929-01-01 12:00,85.372,,,1929-03-15 12:00,91.807,,,1930-01-04 12:00,274.722,,,1930-09-03 12:00,93.891,,,1931-12-16 12:00,275.011,,,1932-08-11 12:00,94.57,,,1933-11-25 12:00,274.877,,,1934-07-22 12:00,94.591,,,1935-11-04 12:00,275.186,,
,,,,1906-06-18 12:00,94.589,,,1907-04-08 12:00,273.249,,,1908-05-29 12:00,94.633,,,1909-03-03 12:00,275.115,,,1910-05-08 12:00,94.252,,,1911-02-08 12:00,275.647,,,1912-04-12 12:00,93.94,,,1913-01-17 12:00,275.325,,,1913-09-22 12:00,93.787,,,1914-12-29 12:00,275.725,,,1915-08-26 12:00,94.726,,,1916-12-09 12:00,276.1,,,1917-08-04 12:00,95.046,,,1918-11-18 12:00,275.526,,,1919-07-15 12:00,94.711,,,1920-10-25 12:00,275.239,,,1921-06-26 12:00,95.254,,,1922-09-20 12:00,274.061,,,1923-06-07 12:00,95.146,,,1924-03-13 12:00,274.361,,,1925-05-17 12:00,94.934,,,1926-02-16 12:00,275.353,,,1927-04-23 12:00,93.889,,,1928-01-26 12:00,275.631,,,1928-10-09 12:00,92.557,,,1929-01-02 12:00,85.049,,,1929-03-16 12:00,92.202,,,1930-01-05 12:00,275.477,,,1930-09-04 12:00,94.507,,,1931-12-17 12:00,275.774,,,1932-08-12 12:00,95.228,,,1933-11-26 12:00,275.64,,,1934-07-23 12:00,95.26,,,1935-11-05 12:00,275.936,,
