Timestamp,G.Saturn,HighPrice,LowPrice,Timestamp,G.Saturn,HighPrice,LowPrice,Timestamp,G.Saturn,HighPrice,LowPrice,Timestamp,G.Saturn,HighPrice,LowPrice,Timestamp,G.Saturn,HighPrice,LowPrice
,,,,1906-06-09 12:00,344.799,,,1906-07-14 12:00,344.766,,,1907-02-13 12:00,344.8,,,1920-09-06 12:00,164.858,,
,,,,1906-06-10 12:00,344.826,,,1906-07-15 12:00,344.736,,,1907-02-14 12:00,344.918,,,1920-09-07 12:00,164.983,,
,,,,1906-06-11 12:00,344.852,,,1906-07-16 12:00,344.704,,,1907-02-15 12:00,345.037,,,1920-09-08 12:00,165.109,,
,,,,1906-06-12 12:00,344.875,,,1906-07-17 12:00,344.671,,,1907-02-16 12:00,345.156,,,1920-09-09 12:00,165.235,,
,,,,1906-06-13 12:00,344.898,,,1906-07-18 12:00,344.637,,,1907-02-17 12:00,345.275,,,1920-09-10 12:00,165.36,,
,,,,1906-06-14 12:00,344.918,,,1906-07-19 12:00,344.601,,,1907-02-18 12:00,345.394,,,1920-09-11 12:00,165.486,,
,,,,1906-06-15 12:00,344.937,,,1906-07-20 12:00,344.563,,,1907-02-19 12:00,345.514,,,1920-09-12 12:00,165.612,,
,,,,1906-06-16 12:00,344.954,,,1906-07-21 12:00,344.524,,,1907-02-20 12:00,345.635,,,1920-09-13 12:00,165.737,,
,,,,1906-06-17 12:00,344.97,,,1906-07-22 12:00,344.483,,,1907-02-21 12:00,345.755,,,1920-09-14 12:00,165.862,,
,,,,1906-06-18 12:00,344.984,,,1906-07-23 12:00,344.441,,,1907-02-22 12:00,345.876,,,1920-09-15 12:00,165.988,,
,,,,1906-06-19 12:00,344.996,,,1906-07-24 12:00,344.398,,,1907-02-23 12:00,345.997,,,1920-09-16 12:00,166.113,,
,,,,1906-06-20 12:00,345.006,,,1906-07-25 12:00,344.353,,,1907-02-24 12:00,346.119,,,1920-09-17 12:00,166.238,,
,,,,1906-06-21 12:00,345.015,,,1906-07-26 12:00,344.307,,,1907-02-25 12:00,346.241,,,1920-09-18 12:00,166.362,,
,,,,1906-06-22 12:00,345.023,,,1906-07-27 12:00,344.26,,,1907-02-26 12:00,346.363,,,1920-09-19 12:00,166.487,,
,,,,1906-06-23 12:00,345.028,,,1906-07-28 12:00,344.211,,,1907-02-27 12:00,346.485,,,1920-09-20 12:00,166.611,,
,,,,1906-06-24 12:00,345.032,,,1906-07-29 12:00,344.161,,,1907-02-28 12:00,346.607,,,1920-09-21 12:00,166.735,,
,,,,1906-06-25 12:00,345.034,,,1906-07-30 12:00,344.11,,,1907-03-01 12:00,346.729,,,1920-09-22 12:00,166.859,,
,,,,1906-06-26 12:00,345.035,,,1906-07-31 12:00,344.057,,,1907-03-02 12:00,346.852,,,1920-09-23 12:00,166.983,,
,,,,1906-06-27 12:00,345.034,,,1906-08-01 12:00,344.004,,,1907-03-03 12:00,346.975,,,1920-09-24 12:00,167.106,,
,,,,1906-06-28 12:00,345.031,,,1906-08-02 12:00,343.949,,,1907-03-04 12:00,347.097,,,1920-09-25 12:00,167.229,,
,,,,1906-06-29 12:00,345.027,,,1906-08-03 12:00,343.893,,,1907-03-05 12:00,347.22,,,1920-09-26 12:00,167.351,,
,,,,1906-06-30 12:00,345.021,,,1906-08-04 12:00,343.836,,,1907-03-06 12:00,347.343,,,1920-09-27 12:00,167.474,,
,,,,1906-07-01 12:00,345.013,,,1906-08-05 12:00,343.777,,,1907-03-07 12:00,347.466,,,1920-09-28 12:00,167.596,,
,,,,1906-07-02 12:00,345.004,,,1906-08-06 12:00,343.718,,,1907-03-08 12:00,347.59,,,1920-09-29 12:00,167.717,,
,,,,1906-07-03 12:00,344.993,,,1906-08-07 12:00,343.657,,,1907-03-09 12:00,347.713,,,1920-09-30 12:00,167.838,,
,,,,1906-07-04 12:00,344.98,,,1906-08-08 12:00,343.596,,,1907-03-10 12:00,347.836,,,1920-10-01 12:00,167.959,,
,,,,1906-07-05 12:00,344.966,,,1906-08-09 12:00,343.533,,,1907-03-11 12:00,347.959,,,1920-10-02 12:00,168.079,,
