Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice
,,,,1906-06-09 12:00,106.845,,,1907-02-23 12:00,287.725,,,1907-07-25 12:00,107.635,,,1907-12-17 12:00,287.979,,,1908-05-28 12:00,106.957,,,1908-07-01 12:00,106.351,,,1908-08-24 12:00,107.241,,,1909-01-29 12:00,287.139,,,1909-06-24 12:00,107.802,,,1909-11-23 12:00,287.773,,,1910-08-08 12:00,107.273,,,1910-12-31 12:00,287.634,,,1911-05-28 12:00,107.695,,,1912-02-13 12:00,287.897,,,1912-07-08 12:00,106.846,,,1912-12-02 12:00,287.651,,,1913-08-21 12:00,107.676,,,1914-01-14 12:00,286.964,,,1914-06-09 12:00,107.469,,,1915-02-22 12:00,286.89,,,1915-07-24 12:00,107.09,,,1915-12-16 12:00,287.39,,,1916-05-30 12:00,106.895,,,1916-06-24 12:00,106.715,,,1916-08-24 12:00,106.852,,,1917-01-29 12:00,287.801,,,1917-06-23 12:00,107.254,,,1917-11-22 12:00,286.89,,,1918-08-08 12:00,107.907,,,1918-12-30 12:00,287.058,,,1919-05-27 12:00,107.016,,,1920-02-12 12:00,287.256,,,1920-07-08 12:00,107.529,,,1920-12-01 12:00,287.001,,,1921-08-20 12:00,107.021,,,1922-01-14 12:00,287.642,,,1922-06-08 12:00,106.88,,,1923-02-22 12:00,287.152,,,1923-07-24 12:00,107.755,,,1923-12-16 12:00,288.034,,,1924-06-04 12:00,107.047,,,1924-06-16 12:00,106.692,,,1924-08-25 12:00,107.328,,,1925-01-28 12:00,287.201,,,1925-06-23 12:00,107.912,,,1925-11-22 12:00,287.023,,,1926-08-07 12:00,107.321,,,1926-12-30 12:00,287.723,,,1927-05-27 12:00,107.444,,,1928-02-12 12:00,287.826,,,1928-07-07 12:00,106.975,,,1928-12-01 12:00,287.547,,,1929-08-20 12:00,107.517,,,1930-01-13 12:00,287.058,,,1930-06-08 12:00,107.488,,,1931-02-22 12:00,287.436,,,1931-07-23 12:00,107.202,,,1931-12-15 12:00,287.433,,,1932-08-25 12:00,107.101,,,1933-01-28 12:00,287.861,,,1933-06-22 12:00,107.357,,,1933-11-22 12:00,287.143,,,1934-08-07 12:00,107.957,,,1934-12-29 12:00,287.153,,,1935-05-27 12:00,107.87,,
,,,,1906-06-10 12:00,108.047,,,1907-02-24 12:00,288.809,,,1907-07-26 12:00,108.859,,,1907-12-18 12:00,289.225,,,1908-05-29 12:00,107.478,,,1908-07-02 12:00,105.758,,,1908-08-25 12:00,107.989,,,1909-01-30 12:00,288.387,,,1909-06-25 12:00,109.026,,,1909-11-24 12:00,288.836,,,1910-08-09 12:00,108.477,,,1911-01-01 12:00,288.891,,,1911-05-29 12:00,108.82,,,1912-02-14 12:00,289.114,,,1912-07-09 12:00,108.076,,,1912-12-03 12:00,288.863,,,1913-08-22 12:00,108.82,,,1914-01-15 12:00,288.221,,,1914-06-10 12:00,108.67,,,1915-02-23 12:00,287.98,,,1915-07-25 12:00,108.314,,,1915-12-17 12:00,288.636,,,1916-05-31 12:00,107.305,,,1916-06-25 12:00,106.229,,,1916-08-25 12:00,107.632,,,1917-01-30 12:00,289.049,,,1917-06-24 12:00,108.478,,,1917-11-23 12:00,287.945,,,1918-08-09 12:00,109.113,,,1918-12-31 12:00,288.315,,,1919-05-28 12:00,108.138,,,1920-02-13 12:00,288.475,,,1920-07-09 12:00,108.759,,,1920-12-02 12:00,288.211,,,1921-08-21 12:00,108.167,,,1922-01-15 12:00,288.899,,,1922-06-09 12:00,108.079,,,1923-02-23 12:00,288.252,,,1923-07-25 12:00,108.98,,,1923-12-17 12:00,289.279,,,1924-06-05 12:00,107.227,,,1924-06-17 12:00,106.405,,,1924-08-26 12:00,108.151,,,1925-01-29 12:00,288.45,,,1925-06-24 12:00,109.136,,,1925-11-23 12:00,288.066,,,1926-08-08 12:00,108.528,,,1926-12-31 12:00,288.98,,,1927-05-28 12:00,108.56,,,1928-02-13 12:00,289.046,,,1928-07-08 12:00,108.205,,,1928-12-02 12:00,288.755,,,1929-08-21 12:00,108.667,,,1930-01-14 12:00,288.315,,,1930-06-09 12:00,108.686,,,1931-02-23 12:00,288.544,,,1931-07-24 12:00,108.427,,,1931-12-16 12:00,288.678,,,1932-08-26 12:00,107.951,,,1933-01-29 12:00,289.11,,,1933-06-23 12:00,108.58,,,1933-11-23 12:00,288.171,,,1934-08-08 12:00,109.165,,,1934-12-30 12:00,288.409,,,1935-05-28 12:00,108.98,,
,,,,1906-06-11 12:00,109.249,,,1907-02-25 12:00,289.896,,,1907-07-27 12:00,110.084,,,1907-12-19 12:00,290.472,,,1908-05-30 12:00,107.975,,,1908-07-03 12:00,105.151,,,1908-08-26 12:00,108.751,,,1909-01-31 12:00,289.634,,,1909-06-26 12:00,110.25,,,1909-11-25 12:00,289.894,,,1910-08-10 12:00,109.683,,,1911-01-02 12:00,290.148,,,1911-05-30 12:00,109.943,,,1912-02-15 12:00,290.331,,,1912-07-10 12:00,109.306,,,1912-12-04 12:00,290.075,,,1913-08-23 12:00,109.967,,,1914-01-16 12:00,289.478,,,1914-06-11 12:00,109.869,,,1915-02-24 12:00,289.073,,,1915-07-26 12:00,109.539,,,1915-12-18 12:00,289.881,,,1916-06-01 12:00,107.687,,,1916-06-26 12:00,105.715,,,1916-08-26 12:00,108.426,,,1917-01-31 12:00,290.297,,,1917-06-25 12:00,109.702,,,1917-11-24 12:00,288.996,,,1918-08-10 12:00,110.32,,,1919-01-01 12:00,289.572,,,1919-05-29 12:00,109.258,,,1920-02-14 12:00,289.694,,,1920-07-10 12:00,109.989,,,1920-12-03 12:00,289.421,,,1921-08-22 12:00,109.316,,,1922-01-16 12:00,290.156,,,1922-06-10 12:00,109.278,,,1923-02-24 12:00,289.355,,,1923-07-26 12:00,110.206,,,1923-12-18 12:00,290.524,,,1924-06-06 12:00,107.371,,,1924-06-18 12:00,106.08,,,1924-08-27 12:00,108.987,,,1925-01-30 12:00,289.698,,,1925-06-25 12:00,110.359,,,1925-11-24 12:00,289.102,,,1926-08-09 12:00,109.735,,,1927-01-01 12:00,290.236,,,1927-05-29 12:00,109.674,,,1928-02-14 12:00,290.267,,,1928-07-09 12:00,109.435,,,1928-12-03 12:00,289.962,,,1929-08-22 12:00,109.82,,,1930-01-15 12:00,289.572,,,1930-06-10 12:00,109.884,,,1931-02-24 12:00,289.656,,,1931-07-25 12:00,109.653,,,1931-12-17 12:00,289.923,,,1932-08-27 12:00,108.813,,,1933-01-30 12:00,290.359,,,1933-06-24 12:00,109.803,,,1933-11-24 12:00,289.193,,,1934-08-09 12:00,110.374,,,1934-12-31 12:00,289.666,,,1935-05-29 12:00,110.087,,
,,,,1906-06-12 12:00,110.449,,,1907-02-26 12:00,290.986,,,1907-07-28 12:00,111.31,,,1907-12-20 12:00,291.717,,,1908-05-31 12:00,108.447,,,1908-07-04 12:00,104.534,,,1908-08-27 12:00,109.527,,,1909-02-01 12:00,290.881,,,1909-06-27 12:00,111.474,,,1909-11-26 12:00,290.948,,,1910-08-11 12:00,110.889,,,1911-01-03 12:00,291.404,,,1911-05-31 12:00,111.063,,,1912-02-16 12:00,291.549,,,1912-07-11 12:00,110.537,,,1912-12-05 12:00,291.286,,,1913-08-24 12:00,111.115,,,1914-01-17 12:00,290.735,,,1914-06-12 12:00,111.068,,,1915-02-25 12:00,290.17,,,1915-07-27 12:00,110.765,,,1915-12-19 12:00,291.127,,,1916-06-02 12:00,108.039,,,1916-06-27 12:00,105.176,,,1916-08-27 12:00,109.233,,,1917-02-01 12:00,291.545,,,1917-06-26 12:00,110.926,,,1917-11-25 12:00,290.041,,,1918-08-11 12:00,111.528,,,1919-01-02 12:00,290.829,,,1919-05-30 12:00,110.375,,,1920-02-15 12:00,290.913,,,1920-07-11 12:00,111.219,,,1920-12-04 12:00,290.629,,,1921-08-23 12:00,110.466,,,1922-01-17 12:00,291.413,,,1922-06-11 12:00,110.476,,,1923-02-25 12:00,290.46,,,1923-07-27 12:00,111.432,,,1923-12-19 12:00,291.769,,,1924-06-07 12:00,107.479,,,1924-06-19 12:00,105.716,,,1924-08-28 12:00,109.834,,,1925-01-31 12:00,290.947,,,1925-06-26 12:00,111.583,,,1925-11-25 12:00,290.133,,,1926-08-10 12:00,110.944,,,1927-01-02 12:00,291.493,,,1927-05-30 12:00,110.785,,,1928-02-15 12:00,291.488,,,1928-07-10 12:00,110.665,,,1928-12-04 12:00,291.168,,,1929-08-23 12:00,110.974,,,1930-01-16 12:00,290.829,,,1930-06-11 12:00,111.08,,,1931-02-25 12:00,290.77,,,1931-07-26 12:00,110.879,,,1931-12-18 12:00,291.167,,,1932-08-28 12:00,109.685,,,1933-01-31 12:00,291.608,,,1933-06-25 12:00,111.026,,,1933-11-25 12:00,290.209,,,1934-08-10 12:00,111.584,,,1935-01-01 12:00,290.922,,,1935-05-30 12:00,111.191,,
,,,,1906-06-13 12:00,111.649,,,1907-02-27 12:00,292.081,,,1907-07-29 12:00,112.536,,,1907-12-21 12:00,292.963,,,1908-06-01 12:00,108.893,,,1908-07-05 12:00,103.91,,,1908-08-28 12:00,110.317,,,1909-02-02 12:00,292.129,,,1909-06-28 12:00,112.698,,,1909-11-27 12:00,291.996,,,1910-08-12 12:00,112.096,,,1911-01-04 12:00,292.661,,,1911-06-01 12:00,112.181,,,1912-02-17 12:00,292.768,,,1912-07-12 12:00,111.767,,,1912-12-06 12:00,292.496,,,1913-08-25 12:00,112.266,,,1914-01-18 12:00,291.992,,,1914-06-13 12:00,112.267,,,1915-02-26 12:00,291.27,,,1915-07-28 12:00,111.991,,,1915-12-20 12:00,292.372,,,1916-06-03 12:00,108.361,,,1916-06-28 12:00,104.614,,,1916-08-28 12:00,110.053,,,1917-02-02 12:00,292.793,,,1917-06-27 12:00,112.149,,,1917-11-26 12:00,291.081,,,1918-08-12 12:00,112.737,,,1919-01-03 12:00,292.085,,,1919-05-31 12:00,111.489,,,1920-02-16 12:00,292.133,,,1920-07-12 12:00,112.45,,,1920-12-05 12:00,291.838,,,1921-08-24 12:00,111.619,,,1922-01-18 12:00,292.67,,,1922-06-12 12:00,111.673,,,1923-02-26 12:00,291.569,,,1923-07-28 12:00,112.659,,,1923-12-20 12:00,293.013,,,1924-06-08 12:00,107.549,,,1924-06-20 12:00,105.317,,,1924-08-29 12:00,110.692,,,1925-02-01 12:00,292.195,,,1925-06-27 12:00,112.805,,,1925-11-26 12:00,291.159,,,1926-08-11 12:00,112.153,,,1927-01-03 12:00,292.749,,,1927-05-31 12:00,111.892,,,1928-02-16 12:00,292.71,,,1928-07-11 12:00,111.895,,,1928-12-05 12:00,292.373,,,1929-08-24 12:00,112.131,,,1930-01-17 12:00,292.086,,,1930-06-12 12:00,112.276,,,1931-02-26 12:00,291.887,,,1931-07-27 12:00,112.106,,,1931-12-19 12:00,292.411,,,1932-08-29 12:00,110.567,,,1933-02-01 12:00,292.857,,,1933-06-26 12:00,112.249,,,1933-11-26 12:00,291.218,,,1934-08-11 12:00,112.795,,,1935-01-02 12:00,292.178,,,1935-05-31 12:00,112.292,,
,,,,1906-06-14 12:00,112.849,,,1907-02-28 12:00,293.178,,,1907-07-30 12:00,113.763,,,1907-12-22 12:00,294.208,,,1908-06-02 12:00,109.311,,,1908-07-06 12:00,103.285,,,1908-08-29 12:00,111.12,,,1909-02-03 12:00,293.376,,,1909-06-29 12:00,113.921,,,1909-11-28 12:00,293.038,,,1910-08-13 12:00,113.304,,,1911-01-05 12:00,293.917,,,1911-06-02 12:00,113.296,,,1912-02-18 12:00,293.986,,,1912-07-13 12:00,112.998,,,1912-12-07 12:00,293.705,,,1913-08-26 12:00,113.419,,,1914-01-19 12:00,293.249,,,1914-06-14 12:00,113.464,,,1915-02-27 12:00,292.374,,,1915-07-29 12:00,113.218,,,1915-12-21 12:00,293.617,,,1916-06-04 12:00,108.652,,,1916-06-29 12:00,104.032,,,1916-08-29 12:00,110.885,,,1917-02-03 12:00,294.041,,,1917-06-28 12:00,113.373,,,1917-11-27 12:00,292.115,,,1918-08-13 12:00,113.946,,,1919-01-04 12:00,293.342,,,1919-06-01 12:00,112.601,,,1920-02-17 12:00,293.353,,,1920-07-13 12:00,113.681,,,1920-12-06 12:00,293.045,,,1921-08-25 12:00,112.774,,,1922-01-19 12:00,293.927,,,1922-06-13 12:00,112.87,,,1923-02-27 12:00,292.681,,,1923-07-29 12:00,113.886,,,1923-12-21 12:00,294.257,,,1924-06-09 12:00,107.581,,,1924-06-21 12:00,104.884,,,1924-08-30 12:00,111.561,,,1925-02-02 12:00,293.444,,,1925-06-28 12:00,114.028,,,1925-11-27 12:00,292.177,,,1926-08-12 12:00,113.363,,,1927-01-04 12:00,294.005,,,1927-06-01 12:00,112.997,,,1928-02-17 12:00,293.932,,,1928-07-12 12:00,113.126,,,1928-12-06 12:00,293.578,,,1929-08-25 12:00,113.289,,,1930-01-18 12:00,293.343,,,1930-06-13 12:00,113.471,,,1931-02-27 12:00,293.007,,,1931-07-28 12:00,113.333,,,1931-12-20 12:00,293.655,,,1932-08-30 12:00,111.46,,,1933-02-02 12:00,294.106,,,1933-06-27 12:00,113.471,,,1933-11-27 12:00,292.22,,,1934-08-12 12:00,114.006,,,1935-01-03 12:00,293.434,,,1935-06-01 12:00,113.39,,
,,,,1906-06-15 12:00,114.047,,,1907-03-01 12:00,294.279,,,1907-07-31 12:00,114.99,,,1907-12-23 12:00,295.454,,,1908-06-03 12:00,109.702,,,1908-07-07 12:00,102.661,,,1908-08-30 12:00,111.936,,,1909-02-04 12:00,294.623,,,1909-06-30 12:00,115.144,,,1909-11-29 12:00,294.075,,,1910-08-14 12:00,114.513,,,1911-01-06 12:00,295.174,,,1911-06-03 12:00,114.408,,,1912-02-19 12:00,295.206,,,1912-07-14 12:00,114.229,,,1912-12-08 12:00,294.913,,,1913-08-27 12:00,114.575,,,1914-01-20 12:00,294.506,,,1914-06-15 12:00,114.661,,,1915-02-28 12:00,293.48,,,1915-07-30 12:00,114.444,,,1915-12-22 12:00,294.862,,,1916-06-05 12:00,108.91,,,1916-06-30 12:00,103.434,,,1916-08-30 12:00,111.728,,,1917-02-04 12:00,295.288,,,1917-06-29 12:00,114.595,,,1917-11-28 12:00,293.143,,,1918-08-14 12:00,115.156,,,1919-01-05 12:00,294.598,,,1919-06-02 12:00,113.71,,,1920-02-18 12:00,294.574,,,1920-07-14 12:00,114.912,,,1920-12-07 12:00,294.251,,,1921-08-26 12:00,113.931,,,1922-01-20 12:00,295.184,,,1922-06-14 12:00,114.066,,,1923-02-28 12:00,293.796,,,1923-07-30 12:00,115.113,,,1923-12-22 12:00,295.501,,,1924-06-10 12:00,107.574,,,1924-06-22 12:00,104.418,,,1924-08-31 12:00,112.44,,,1925-02-03 12:00,294.692,,,1925-06-29 12:00,115.251,,,1925-11-28 12:00,293.19,,,1926-08-13 12:00,114.574,,,1927-01-05 12:00,295.262,,,1927-06-02 12:00,114.1,,,1928-02-18 12:00,295.154,,,1928-07-13 12:00,114.356,,,1928-12-07 12:00,294.782,,,1929-08-26 12:00,114.45,,,1930-01-19 12:00,294.6,,,1930-06-14 12:00,114.664,,,1931-02-28 12:00,294.13,,,1931-07-29 12:00,114.561,,,1931-12-21 12:00,294.899,,,1932-08-31 12:00,112.362,,,1933-02-03 12:00,295.355,,,1933-06-28 12:00,114.693,,,1933-11-28 12:00,293.216,,,1934-08-13 12:00,115.218,,,1935-01-04 12:00,294.69,,,1935-06-02 12:00,114.484,,
,,,,1906-06-16 12:00,115.245,,,1907-03-02 12:00,295.383,,,1907-08-01 12:00,116.217,,,1907-12-24 12:00,296.699,,,1908-06-04 12:00,110.063,,,1908-07-08 12:00,102.043,,,1908-08-31 12:00,112.765,,,1909-02-05 12:00,295.87,,,1909-07-01 12:00,116.367,,,1909-11-30 12:00,295.106,,,1910-08-15 12:00,115.722,,,1911-01-07 12:00,296.43,,,1911-06-04 12:00,115.517,,,1912-02-20 12:00,296.425,,,1912-07-15 12:00,115.46,,,1912-12-09 12:00,296.121,,,1913-08-28 12:00,115.732,,,1914-01-21 12:00,295.763,,,1914-06-16 12:00,115.857,,,1915-03-01 12:00,294.59,,,1915-07-31 12:00,115.672,,,1915-12-23 12:00,296.106,,,1916-06-06 12:00,109.135,,,1916-07-01 12:00,102.824,,,1916-08-31 12:00,112.583,,,1917-02-05 12:00,296.536,,,1917-06-30 12:00,115.818,,,1917-11-29 12:00,294.165,,,1918-08-15 12:00,116.367,,,1919-01-06 12:00,295.854,,,1919-06-03 12:00,114.815,,,1920-02-19 12:00,295.795,,,1920-07-15 12:00,116.143,,,1920-12-08 12:00,295.457,,,1921-08-27 12:00,115.09,,,1922-01-21 12:00,296.44,,,1922-06-15 12:00,115.26,,,1923-03-01 12:00,294.914,,,1923-07-31 12:00,116.341,,,1923-12-23 12:00,296.745,,,1924-06-11 12:00,107.528,,,1924-06-23 12:00,103.921,,,1924-09-01 12:00,113.33,,,1925-02-04 12:00,295.941,,,1925-06-30 12:00,116.473,,,1925-11-29 12:00,294.196,,,1926-08-14 12:00,115.785,,,1927-01-06 12:00,296.517,,,1927-06-03 12:00,115.198,,,1928-02-19 12:00,296.377,,,1928-07-14 12:00,115.587,,,1928-12-08 12:00,295.984,,,1929-08-27 12:00,115.612,,,1930-01-20 12:00,295.857,,,1930-06-15 12:00,115.858,,,1931-03-01 12:00,295.255,,,1931-07-30 12:00,115.788,,,1931-12-22 12:00,296.142,,,1932-09-01 12:00,113.274,,,1933-02-04 12:00,296.604,,,1933-06-29 12:00,115.915,,,1933-11-29 12:00,294.204,,,1934-08-14 12:00,116.431,,,1935-01-05 12:00,295.946,,,1935-06-03 12:00,115.576,,
,,,,1906-06-17 12:00,116.442,,,1907-03-03 12:00,296.491,,,1907-08-02 12:00,117.445,,,1907-12-25 12:00,297.943,,,1908-06-05 12:00,110.395,,,1908-07-09 12:00,101.435,,,1908-09-01 12:00,113.605,,,1909-02-06 12:00,297.118,,,1909-07-02 12:00,117.59,,,1909-12-01 12:00,296.132,,,1910-08-16 12:00,116.933,,,1911-01-08 12:00,297.686,,,1911-06-05 12:00,116.623,,,1912-02-21 12:00,297.645,,,1912-07-16 12:00,116.691,,,1912-12-10 12:00,297.327,,,1913-08-29 12:00,116.891,,,1914-01-22 12:00,297.02,,,1914-06-17 12:00,117.052,,,1915-03-02 12:00,295.702,,,1915-08-01 12:00,116.9,,,1915-12-24 12:00,297.35,,,1916-06-07 12:00,109.326,,,1916-07-02 12:00,102.205,,,1916-09-01 12:00,113.45,,,1917-02-06 12:00,297.784,,,1917-07-01 12:00,117.041,,,1917-11-30 12:00,295.181,,,1918-08-16 12:00,117.579,,,1919-01-07 12:00,297.11,,,1919-06-04 12:00,115.918,,,1920-02-20 12:00,297.016,,,1920-07-16 12:00,117.374,,,1920-12-09 12:00,296.662,,,1921-08-28 12:00,116.251,,,1922-01-22 12:00,297.697,,,1922-06-16 12:00,116.455,,,1923-03-02 12:00,296.034,,,1923-08-01 12:00,117.569,,,1923-12-24 12:00,297.988,,,1924-06-12 12:00,107.442,,,1924-06-24 12:00,103.398,,,1924-09-02 12:00,114.23,,,1925-02-05 12:00,297.189,,,1925-07-01 12:00,117.695,,,1925-11-30 12:00,295.195,,,1926-08-15 12:00,116.998,,,1927-01-07 12:00,297.773,,,1927-06-04 12:00,116.294,,,1928-02-20 12:00,297.6,,,1928-07-15 12:00,116.818,,,1928-12-09 12:00,297.186,,,1929-08-28 12:00,116.777,,,1930-01-21 12:00,297.114,,,1930-06-16 12:00,117.05,,,1931-03-02 12:00,296.383,,,1931-07-31 12:00,117.017,,,1931-12-23 12:00,297.385,,,1932-09-02 12:00,114.194,,,1933-02-05 12:00,297.852,,,1933-06-30 12:00,117.137,,,1933-11-30 12:00,295.184,,,1934-08-15 12:00,117.645,,,1935-01-06 12:00,297.202,,,1935-06-04 12:00,116.664,,
,,,,1906-06-18 12:00,117.639,,,1907-03-04 12:00,297.601,,,1907-08-03 12:00,118.674,,,1907-12-26 12:00,299.188,,,1908-06-06 12:00,110.695,,,1908-07-10 12:00,100.84,,,1908-09-02 12:00,114.457,,,1909-02-07 12:00,298.365,,,1909-07-03 12:00,118.813,,,1909-12-02 12:00,297.151,,,1910-08-17 12:00,118.144,,,1911-01-09 12:00,298.941,,,1911-06-06 12:00,117.727,,,1912-02-22 12:00,298.865,,,1912-07-17 12:00,117.923,,,1912-12-11 12:00,298.533,,,1913-08-30 12:00,118.052,,,1914-01-23 12:00,298.276,,,1914-06-18 12:00,118.247,,,1915-03-03 12:00,296.818,,,1915-08-02 12:00,118.128,,,1915-12-25 12:00,298.594,,,1916-06-08 12:00,109.481,,,1916-07-03 12:00,101.581,,,1916-09-02 12:00,114.326,,,1917-02-07 12:00,299.032,,,1917-07-02 12:00,118.263,,,1917-12-01 12:00,296.19,,,1918-08-17 12:00,118.792,,,1919-01-08 12:00,298.366,,,1919-06-05 12:00,117.018,,,1920-02-21 12:00,298.238,,,1920-07-17 12:00,118.605,,,1920-12-10 12:00,297.866,,,1921-08-29 12:00,117.414,,,1922-01-23 12:00,298.954,,,1922-06-17 12:00,117.648,,,1923-03-03 12:00,297.157,,,1923-08-02 12:00,118.798,,,1923-12-25 12:00,299.231,,,1924-06-13 12:00,107.315,,,1924-06-25 12:00,102.849,,,1924-09-03 12:00,115.139,,,1925-02-06 12:00,298.437,,,1925-07-02 12:00,118.916,,,1925-12-01 12:00,296.187,,,1926-08-16 12:00,118.211,,,1927-01-08 12:00,299.029,,,1927-06-05 12:00,117.387,,,1928-02-21 12:00,298.824,,,1928-07-16 12:00,118.049,,,1928-12-10 12:00,298.387,,,1929-08-29 12:00,117.943,,,1930-01-22 12:00,298.37,,,1930-06-17 12:00,118.241,,,1931-03-03 12:00,297.513,,,1931-08-01 12:00,118.246,,,1931-12-24 12:00,298.627,,,1932-09-03 12:00,115.124,,,1933-02-06 12:00,299.101,,,1933-07-01 12:00,118.358,,,1933-12-01 12:00,296.157,,,1934-08-16 12:00,118.859,,,1935-01-07 12:00,298.457,,,1935-06-05 12:00,117.749,,
