Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice,Timestamp,H.Earth,HighPrice,LowPrice
,,,,1906-06-09 12:00,257.921,,,1906-12-11 12:00,78.768,,,1907-06-10 12:00,258.651,,,1907-12-11 12:00,78.522,,,1908-06-09 12:00,258.419,,,1908-12-10 12:00,78.277,,,1909-06-09 12:00,258.183,,,1909-12-10 12:00,78.031,,,1910-06-09 12:00,257.958,,,1910-12-11 12:00,78.805,,,1911-06-10 12:00,258.685,,,1911-12-11 12:00,78.557,,,1912-06-09 12:00,258.454,,,1912-12-10 12:00,78.311,,,1913-06-09 12:00,258.225,,,1913-12-10 12:00,78.067,,,1914-06-09 12:00,257.993,,,1914-12-11 12:00,78.833,,,1915-06-10 12:00,258.725,,,1915-12-11 12:00,78.589,,,1916-06-09 12:00,258.495,,,1916-12-10 12:00,78.345,,,1917-06-09 12:00,258.257,,,1917-12-10 12:00,78.097,,,1918-06-09 12:00,258.028,,,1918-12-11 12:00,78.869,,,1919-06-10 12:00,258.753,,,1919-12-11 12:00,78.62,,,1920-06-09 12:00,258.518,,,1920-12-10 12:00,78.373,,,1921-06-09 12:00,258.287,,,1921-12-10 12:00,78.13,,,1922-06-09 12:00,258.053,,,1922-12-11 12:00,78.894,,,1923-06-10 12:00,258.782,,,1923-12-11 12:00,78.646,,,1924-06-09 12:00,258.552,,,1924-12-10 12:00,78.397,,,1925-06-09 12:00,258.314,,,1925-12-10 12:00,78.145,,,1926-06-09 12:00,258.087,,,1926-12-11 12:00,78.917,,,1927-06-10 12:00,258.814,,,1927-12-11 12:00,78.67,,,1928-06-09 12:00,258.58,,,1928-12-10 12:00,78.424,,,1929-06-09 12:00,258.348,,,1929-12-10 12:00,78.184,,,1930-06-09 12:00,258.115,,,1930-12-10 12:00,77.933,,,1931-06-10 12:00,258.843,,,1931-12-11 12:00,78.705,,,1932-06-09 12:00,258.614,,,1932-12-10 12:00,78.464,,,1933-06-09 12:00,258.38,,,1933-12-10 12:00,78.216,,,1934-06-09 12:00,258.154,,,1934-12-10 12:00,77.973,,,1935-06-09 12:00,257.927,,,1935-12-11 12:00,78.742,,
,,,,1906-06-10 12:00,258.877,,,1906-12-12 12:00,79.785,,,1907-06-11 12:00,259.607,,,1907-12-12 12:00,79.538,,,1908-06-10 12:00,259.375,,,1908-12-11 12:00,79.293,,,1909-06-10 12:00,259.139,,,1909-12-11 12:00,79.048,,,1910-06-10 12:00,258.914,,,1910-12-12 12:00,79.821,,,1911-06-11 12:00,259.64,,,1911-12-12 12:00,79.574,,,1912-06-10 12:00,259.41,,,1912-12-11 12:00,79.328,,,1913-06-10 12:00,259.181,,,1913-12-11 12:00,79.084,,,1914-06-10 12:00,258.949,,,1914-12-12 12:00,79.85,,,1915-06-11 12:00,259.681,,,1915-12-12 12:00,79.606,,,1916-06-10 12:00,259.451,,,1916-12-11 12:00,79.362,,,1917-06-10 12:00,259.212,,,1917-12-11 12:00,79.114,,,1918-06-10 12:00,258.985,,,1918-12-12 12:00,79.886,,,1919-06-11 12:00,259.708,,,1919-12-12 12:00,79.636,,,1920-06-10 12:00,259.474,,,1920-12-11 12:00,79.39,,,1921-06-10 12:00,259.243,,,1921-12-11 12:00,79.147,,,1922-06-10 12:00,259.008,,,1922-12-12 12:00,79.91,,,1923-06-11 12:00,259.738,,,1923-12-12 12:00,79.663,,,1924-06-10 12:00,259.507,,,1924-12-11 12:00,79.414,,,1925-06-10 12:00,259.27,,,1925-12-11 12:00,79.162,,,1926-06-10 12:00,259.044,,,1926-12-12 12:00,79.934,,,1927-06-11 12:00,259.77,,,1927-12-12 12:00,79.686,,,1928-06-10 12:00,259.536,,,1928-12-11 12:00,79.441,,,1929-06-10 12:00,259.304,,,1929-12-11 12:00,79.2,,,1930-06-10 12:00,259.07,,,1930-12-11 12:00,78.949,,,1931-06-11 12:00,259.799,,,1931-12-12 12:00,79.722,,,1932-06-10 12:00,259.57,,,1932-12-11 12:00,79.48,,,1933-06-10 12:00,259.336,,,1933-12-11 12:00,79.232,,,1934-06-10 12:00,259.11,,,1934-12-11 12:00,78.99,,,1935-06-10 12:00,258.883,,,1935-12-12 12:00,79.758,,
,,,,1906-06-11 12:00,259.832,,,1906-12-13 12:00,80.803,,,1907-06-12 12:00,260.563,,,1907-12-13 12:00,80.555,,,1908-06-11 12:00,260.33,,,1908-12-12 12:00,80.31,,,1909-06-11 12:00,260.095,,,1909-12-12 12:00,80.065,,,1910-06-11 12:00,259.87,,,1910-12-13 12:00,80.838,,,1911-06-12 12:00,260.596,,,1911-12-13 12:00,80.591,,,1912-06-11 12:00,260.365,,,1912-12-12 12:00,80.346,,,1913-06-11 12:00,260.137,,,1913-12-12 12:00,80.1,,,1914-06-11 12:00,259.904,,,1914-12-13 12:00,80.867,,,1915-06-12 12:00,260.637,,,1915-12-13 12:00,80.623,,,1916-06-11 12:00,260.406,,,1916-12-12 12:00,80.379,,,1917-06-11 12:00,260.168,,,1917-12-12 12:00,80.131,,,1918-06-11 12:00,259.941,,,1918-12-13 12:00,80.902,,,1919-06-12 12:00,260.664,,,1919-12-13 12:00,80.653,,,1920-06-11 12:00,260.429,,,1920-12-12 12:00,80.408,,,1921-06-11 12:00,260.199,,,1921-12-12 12:00,80.163,,,1922-06-11 12:00,259.964,,,1922-12-13 12:00,80.928,,,1923-06-12 12:00,260.694,,,1923-12-13 12:00,80.68,,,1924-06-11 12:00,260.463,,,1924-12-12 12:00,80.431,,,1925-06-11 12:00,260.225,,,1925-12-12 12:00,80.179,,,1926-06-11 12:00,260.0,,,1926-12-13 12:00,80.951,,,1927-06-12 12:00,260.725,,,1927-12-13 12:00,80.703,,,1928-06-11 12:00,260.491,,,1928-12-12 12:00,80.459,,,1929-06-11 12:00,260.26,,,1929-12-12 12:00,80.217,,,1930-06-11 12:00,260.026,,,1930-12-12 12:00,79.966,,,1931-06-12 12:00,260.755,,,1931-12-13 12:00,80.739,,,1932-06-11 12:00,260.526,,,1932-12-12 12:00,80.497,,,1933-06-11 12:00,260.291,,,1933-12-12 12:00,80.249,,,1934-06-11 12:00,260.066,,,1934-12-12 12:00,80.007,,,1935-06-11 12:00,259.839,,,1935-12-13 12:00,80.775,,
,,,,1906-06-12 12:00,260.788,,,1906-12-14 12:00,81.821,,,1907-06-13 12:00,261.518,,,1907-12-14 12:00,81.573,,,1908-06-12 12:00,261.285,,,1908-12-13 12:00,81.327,,,1909-06-12 12:00,261.05,,,1909-12-13 12:00,81.083,,,1910-06-12 12:00,260.826,,,1910-12-14 12:00,81.855,,,1911-06-13 12:00,261.551,,,1911-12-14 12:00,81.608,,,1912-06-12 12:00,261.321,,,1912-12-13 12:00,81.363,,,1913-06-12 12:00,261.092,,,1913-12-13 12:00,81.117,,,1914-06-12 12:00,260.859,,,1914-12-14 12:00,81.885,,,1915-06-13 12:00,261.593,,,1915-12-14 12:00,81.64,,,1916-06-12 12:00,261.361,,,1916-12-13 12:00,81.396,,,1917-06-12 12:00,261.123,,,1917-12-13 12:00,81.149,,,1918-06-12 12:00,260.897,,,1918-12-14 12:00,81.919,,,1919-06-13 12:00,261.619,,,1919-12-14 12:00,81.67,,,1920-06-12 12:00,261.385,,,1920-12-13 12:00,81.425,,,1921-06-12 12:00,261.154,,,1921-12-13 12:00,81.18,,,1922-06-12 12:00,260.919,,,1922-12-14 12:00,81.945,,,1923-06-13 12:00,261.65,,,1923-12-14 12:00,81.698,,,1924-06-12 12:00,261.418,,,1924-12-13 12:00,81.448,,,1925-06-12 12:00,261.18,,,1925-12-13 12:00,81.196,,,1926-06-12 12:00,260.956,,,1926-12-14 12:00,81.968,,,1927-06-13 12:00,261.68,,,1927-12-14 12:00,81.72,,,1928-06-12 12:00,261.447,,,1928-12-13 12:00,81.476,,,1929-06-12 12:00,261.216,,,1929-12-13 12:00,81.234,,,1930-06-12 12:00,260.981,,,1930-12-13 12:00,80.983,,,1931-06-13 12:00,261.711,,,1931-12-14 12:00,81.757,,,1932-06-12 12:00,261.481,,,1932-12-13 12:00,81.514,,,1933-06-12 12:00,261.246,,,1933-12-13 12:00,81.267,,,1934-06-12 12:00,261.022,,,1934-12-13 12:00,81.024,,,1935-06-12 12:00,260.794,,,1935-12-14 12:00,81.792,,
,,,,1906-06-13 12:00,261.743,,,1906-12-15 12:00,82.839,,,1907-06-14 12:00,262.474,,,1907-12-15 12:00,82.59,,,1908-06-13 12:00,262.24,,,1908-12-14 12:00,82.345,,,1909-06-13 12:00,262.005,,,1909-12-14 12:00,82.101,,,1910-06-13 12:00,261.782,,,1910-12-15 12:00,82.872,,,1911-06-14 12:00,262.506,,,1911-12-15 12:00,82.626,,,1912-06-13 12:00,262.277,,,1912-12-14 12:00,82.381,,,1913-06-13 12:00,262.047,,,1913-12-14 12:00,82.134,,,1914-06-13 12:00,261.815,,,1914-12-15 12:00,82.903,,,1915-06-14 12:00,262.549,,,1915-12-15 12:00,82.658,,,1916-06-13 12:00,262.316,,,1916-12-14 12:00,82.413,,,1917-06-13 12:00,262.079,,,1917-12-14 12:00,82.166,,,1918-06-13 12:00,261.853,,,1918-12-15 12:00,82.937,,,1919-06-14 12:00,262.574,,,1919-12-15 12:00,82.688,,,1920-06-13 12:00,262.341,,,1920-12-14 12:00,82.443,,,1921-06-13 12:00,262.109,,,1921-12-14 12:00,82.197,,,1922-06-13 12:00,261.874,,,1922-12-15 12:00,82.963,,,1923-06-14 12:00,262.605,,,1923-12-15 12:00,82.715,,,1924-06-13 12:00,262.373,,,1924-12-14 12:00,82.465,,,1925-06-13 12:00,262.136,,,1925-12-14 12:00,82.214,,,1926-06-13 12:00,261.911,,,1926-12-15 12:00,82.985,,,1927-06-14 12:00,262.635,,,1927-12-15 12:00,82.737,,,1928-06-13 12:00,262.402,,,1928-12-14 12:00,82.494,,,1929-06-13 12:00,262.171,,,1929-12-14 12:00,82.251,,,1930-06-13 12:00,261.936,,,1930-12-14 12:00,82.0,,,1931-06-14 12:00,262.666,,,1931-12-15 12:00,82.774,,,1932-06-13 12:00,262.436,,,1932-12-14 12:00,82.531,,,1933-06-13 12:00,262.201,,,1933-12-14 12:00,82.284,,,1934-06-13 12:00,261.978,,,1934-12-14 12:00,82.041,,,1935-06-13 12:00,261.749,,,1935-12-15 12:00,82.809,,
,,,,1906-06-14 12:00,262.698,,,1906-12-16 12:00,83.857,,,1907-06-15 12:00,263.429,,,1907-12-16 12:00,83.607,,,1908-06-14 12:00,263.195,,,1908-12-15 12:00,83.362,,,1909-06-14 12:00,262.961,,,1909-12-15 12:00,83.118,,,1910-06-14 12:00,262.737,,,1910-12-16 12:00,83.89,,,1911-06-15 12:00,263.46,,,1911-12-16 12:00,83.644,,,1912-06-14 12:00,263.232,,,1912-12-15 12:00,83.399,,,1913-06-14 12:00,263.002,,,1913-12-15 12:00,83.151,,,1914-06-14 12:00,262.77,,,1914-12-16 12:00,83.921,,,1915-06-15 12:00,263.504,,,1915-12-16 12:00,83.675,,,1916-06-14 12:00,263.271,,,1916-12-15 12:00,83.43,,,1917-06-14 12:00,263.034,,,1917-12-15 12:00,83.184,,,1918-06-14 12:00,262.808,,,1918-12-16 12:00,83.954,,,1919-06-15 12:00,263.528,,,1919-12-16 12:00,83.706,,,1920-06-14 12:00,263.296,,,1920-12-15 12:00,83.461,,,1921-06-14 12:00,263.064,,,1921-12-15 12:00,83.214,,,1922-06-14 12:00,262.829,,,1922-12-16 12:00,83.981,,,1923-06-15 12:00,263.56,,,1923-12-16 12:00,83.733,,,1924-06-14 12:00,263.328,,,1924-12-15 12:00,83.482,,,1925-06-14 12:00,263.091,,,1925-12-15 12:00,83.232,,,1926-06-14 12:00,262.867,,,1926-12-16 12:00,84.002,,,1927-06-15 12:00,263.59,,,1927-12-16 12:00,83.755,,,1928-06-14 12:00,263.357,,,1928-12-15 12:00,83.512,,,1929-06-14 12:00,263.126,,,1929-12-15 12:00,83.268,,,1930-06-14 12:00,262.891,,,1930-12-15 12:00,83.018,,,1931-06-15 12:00,263.622,,,1931-12-16 12:00,83.792,,,1932-06-14 12:00,263.391,,,1932-12-15 12:00,83.548,,,1933-06-14 12:00,263.156,,,1933-12-15 12:00,83.302,,,1934-06-14 12:00,262.934,,,1934-12-15 12:00,83.058,,,1935-06-14 12:00,262.704,,,1935-12-16 12:00,83.827,,
,,,,1906-06-15 12:00,263.653,,,1906-12-17 12:00,84.875,,,1907-06-16 12:00,264.384,,,1907-12-17 12:00,84.625,,,1908-06-15 12:00,264.149,,,1908-12-16 12:00,84.38,,,1909-06-15 12:00,263.916,,,1909-12-16 12:00,84.137,,,1910-06-15 12:00,263.692,,,1910-12-17 12:00,84.907,,,1911-06-16 12:00,264.415,,,1911-12-17 12:00,84.662,,,1912-06-15 12:00,264.187,,,1912-12-16 12:00,84.417,,,1913-06-15 12:00,263.957,,,1913-12-16 12:00,84.169,,,1914-06-15 12:00,263.724,,,1914-12-17 12:00,84.939,,,1915-06-16 12:00,264.459,,,1915-12-17 12:00,84.693,,,1916-06-15 12:00,264.225,,,1916-12-16 12:00,84.448,,,1917-06-15 12:00,263.989,,,1917-12-16 12:00,84.202,,,1918-06-15 12:00,263.763,,,1918-12-17 12:00,84.971,,,1919-06-16 12:00,264.483,,,1919-12-17 12:00,84.724,,,1920-06-15 12:00,264.251,,,1920-12-16 12:00,84.479,,,1921-06-15 12:00,264.019,,,1921-12-16 12:00,84.232,,,1922-06-15 12:00,263.784,,,1922-12-17 12:00,84.999,,,1923-06-16 12:00,264.516,,,1923-12-17 12:00,84.75,,,1924-06-15 12:00,264.282,,,1924-12-16 12:00,84.5,,,1925-06-15 12:00,264.046,,,1925-12-16 12:00,84.25,,,1926-06-15 12:00,263.822,,,1926-12-17 12:00,85.02,,,1927-06-16 12:00,264.544,,,1927-12-17 12:00,84.773,,,1928-06-15 12:00,264.313,,,1928-12-16 12:00,84.53,,,1929-06-15 12:00,264.081,,,1929-12-16 12:00,84.285,,,1930-06-15 12:00,263.846,,,1930-12-16 12:00,84.036,,,1931-06-16 12:00,264.577,,,1931-12-17 12:00,84.81,,,1932-06-15 12:00,264.346,,,1932-12-16 12:00,84.566,,,1933-06-15 12:00,264.111,,,1933-12-16 12:00,84.32,,,1934-06-15 12:00,263.889,,,1934-12-16 12:00,84.076,,,1935-06-15 12:00,263.659,,,1935-12-17 12:00,84.845,,
,,,,1906-06-16 12:00,264.608,,,1906-12-18 12:00,85.894,,,1907-06-17 12:00,265.339,,,1907-12-18 12:00,85.642,,,1908-06-16 12:00,265.103,,,1908-12-17 12:00,85.398,,,1909-06-16 12:00,264.871,,,1909-12-17 12:00,85.155,,,1910-06-16 12:00,264.646,,,1910-12-18 12:00,85.925,,,1911-06-17 12:00,265.37,,,1911-12-18 12:00,85.68,,,1912-06-16 12:00,265.143,,,1912-12-17 12:00,85.435,,,1913-06-16 12:00,264.911,,,1913-12-17 12:00,85.187,,,1914-06-16 12:00,264.679,,,1914-12-18 12:00,85.958,,,1915-06-17 12:00,265.414,,,1915-12-18 12:00,85.71,,,1916-06-16 12:00,265.18,,,1916-12-17 12:00,85.466,,,1917-06-16 12:00,264.944,,,1917-12-17 12:00,85.221,,,1918-06-16 12:00,264.718,,,1918-12-18 12:00,85.989,,,1919-06-17 12:00,265.437,,,1919-12-18 12:00,85.742,,,1920-06-16 12:00,265.206,,,1920-12-17 12:00,85.497,,,1921-06-16 12:00,264.974,,,1921-12-17 12:00,85.249,,,1922-06-16 12:00,264.738,,,1922-12-18 12:00,86.018,,,1923-06-17 12:00,265.471,,,1923-12-18 12:00,85.768,,,1924-06-16 12:00,265.236,,,1924-12-17 12:00,85.518,,,1925-06-16 12:00,265.001,,,1925-12-17 12:00,85.269,,,1926-06-16 12:00,264.777,,,1926-12-18 12:00,86.037,,,1927-06-17 12:00,265.499,,,1927-12-18 12:00,85.791,,,1928-06-16 12:00,265.268,,,1928-12-17 12:00,85.548,,,1929-06-16 12:00,265.036,,,1929-12-17 12:00,85.303,,,1930-06-16 12:00,264.801,,,1930-12-17 12:00,85.054,,,1931-06-17 12:00,265.532,,,1931-12-18 12:00,85.828,,,1932-06-16 12:00,265.3,,,1932-12-17 12:00,85.583,,,1933-06-16 12:00,265.066,,,1933-12-17 12:00,85.339,,,1934-06-16 12:00,264.844,,,1934-12-17 12:00,85.093,,,1935-06-16 12:00,264.614,,,1935-12-18 12:00,85.863,,
,,,,1906-06-17 12:00,265.563,,,1906-12-19 12:00,86.912,,,1907-06-18 12:00,266.293,,,1907-12-19 12:00,86.66,,,1908-06-17 12:00,266.058,,,1908-12-18 12:00,86.416,,,1909-06-17 12:00,265.826,,,1909-12-18 12:00,86.173,,,1910-06-17 12:00,265.601,,,1910-12-19 12:00,86.943,,,1911-06-18 12:00,266.324,,,1911-12-19 12:00,86.699,,,1912-06-17 12:00,266.097,,,1912-12-18 12:00,86.453,,,1913-06-17 12:00,265.866,,,1913-12-18 12:00,86.204,,,1914-06-17 12:00,265.634,,,1914-12-19 12:00,86.976,,,1915-06-18 12:00,266.368,,,1915-12-19 12:00,86.728,,,1916-06-17 12:00,266.134,,,1916-12-18 12:00,86.484,,,1917-06-17 12:00,265.899,,,1917-12-18 12:00,86.239,,,1918-06-17 12:00,265.673,,,1918-12-19 12:00,87.007,,,1919-06-18 12:00,266.392,,,1919-12-19 12:00,86.76,,,1920-06-17 12:00,266.161,,,1920-12-18 12:00,86.515,,,1921-06-17 12:00,265.928,,,1921-12-18 12:00,86.267,,,1922-06-17 12:00,265.693,,,1922-12-19 12:00,87.036,,,1923-06-18 12:00,266.425,,,1923-12-19 12:00,86.786,,,1924-06-17 12:00,266.191,,,1924-12-18 12:00,86.536,,,1925-06-17 12:00,265.955,,,1925-12-18 12:00,86.287,,,1926-06-17 12:00,265.732,,,1926-12-19 12:00,87.055,,,1927-06-18 12:00,266.453,,,1927-12-19 12:00,86.809,,,1928-06-17 12:00,266.223,,,1928-12-18 12:00,86.566,,,1929-06-17 12:00,265.99,,,1929-12-18 12:00,86.32,,,1930-06-17 12:00,265.755,,,1930-12-18 12:00,86.073,,,1931-06-18 12:00,266.487,,,1931-12-19 12:00,86.846,,,1932-06-17 12:00,266.255,,,1932-12-18 12:00,86.601,,,1933-06-17 12:00,266.021,,,1933-12-18 12:00,86.357,,,1934-06-17 12:00,265.799,,,1934-12-18 12:00,86.111,,,1935-06-17 12:00,265.568,,,1935-12-19 12:00,86.881,,
,,,,1906-06-18 12:00,266.518,,,1906-12-20 12:00,87.931,,,1907-06-19 12:00,267.248,,,1907-12-20 12:00,87.678,,,1908-06-18 12:00,267.012,,,1908-12-19 12:00,87.435,,,1909-06-18 12:00,266.781,,,1909-12-19 12:00,87.191,,,1910-06-18 12:00,266.555,,,1910-12-20 12:00,87.961,,,1911-06-19 12:00,267.278,,,1911-12-20 12:00,87.718,,,1912-06-18 12:00,267.052,,,1912-12-19 12:00,87.471,,,1913-06-18 12:00,266.82,,,1913-12-19 12:00,87.223,,,1914-06-18 12:00,266.589,,,1914-12-20 12:00,87.995,,,1915-06-19 12:00,267.323,,,1915-12-20 12:00,87.746,,,1916-06-18 12:00,267.088,,,1916-12-19 12:00,87.502,,,1917-06-18 12:00,266.854,,,1917-12-19 12:00,87.257,,,1918-06-18 12:00,266.627,,,1918-12-20 12:00,88.025,,,1919-06-19 12:00,267.346,,,1919-12-20 12:00,87.779,,,1920-06-18 12:00,267.116,,,1920-12-19 12:00,87.533,,,1921-06-18 12:00,266.882,,,1921-12-19 12:00,87.285,,,1922-06-18 12:00,266.648,,,1922-12-20 12:00,88.055,,,1923-06-19 12:00,267.38,,,1923-12-20 12:00,87.804,,,1924-06-18 12:00,267.145,,,1924-12-19 12:00,87.554,,,1925-06-18 12:00,266.91,,,1925-12-19 12:00,87.306,,,1926-06-18 12:00,266.686,,,1926-12-20 12:00,88.073,,,1927-06-19 12:00,267.407,,,1927-12-20 12:00,87.828,,,1928-06-18 12:00,267.178,,,1928-12-19 12:00,87.585,,,1929-06-18 12:00,266.945,,,1929-12-19 12:00,87.338,,,1930-06-18 12:00,266.71,,,1930-12-19 12:00,87.091,,,1931-06-19 12:00,267.442,,,1931-12-20 12:00,87.864,,,1932-06-18 12:00,267.209,,,1932-12-19 12:00,87.619,,,1933-06-18 12:00,266.975,,,1933-12-19 12:00,87.376,,,1934-06-18 12:00,266.753,,,1934-12-19 12:00,87.129,,,1935-06-18 12:00,266.522,,,1935-12-20 12:00,87.899,,
