Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice
,,,,1906-06-09 12:00,95.414,,,1907-06-23 12:00,275.763,,,1908-04-26 12:00,95.46,,,1909-05-10 12:00,275.769,,,1910-03-14 12:00,95.5,,,1911-03-28 12:00,275.821,,,1912-01-30 12:00,95.525,,,1913-02-12 12:00,275.877,,,1913-12-17 12:00,95.559,,,1914-12-31 12:00,275.91,,,1915-11-04 12:00,95.606,,,1916-11-17 12:00,275.961,,,1917-09-21 12:00,95.642,,,1918-10-04 12:00,275.416,,,1919-08-09 12:00,95.683,,,1920-08-21 12:00,275.431,,,1921-06-26 12:00,95.73,,,1922-07-09 12:00,275.471,,,1923-05-14 12:00,95.76,,,1924-05-26 12:00,275.513,,,1925-03-31 12:00,95.785,,,1926-04-13 12:00,275.537,,,1927-02-16 12:00,95.819,,,1928-02-29 12:00,275.582,,,1929-01-03 12:00,95.856,,,1930-01-16 12:00,275.637,,,1930-11-20 12:00,95.413,,,1931-12-04 12:00,275.653,,,1932-10-07 12:00,95.468,,,1933-10-21 12:00,275.688,,,1934-08-25 12:00,95.508,,,1935-09-08 12:00,275.748,,
,,,,1906-06-10 12:00,95.895,,,1907-06-24 12:00,276.347,,,1908-04-27 12:00,95.94,,,1909-05-11 12:00,276.353,,,1910-03-15 12:00,95.981,,,1911-03-29 12:00,276.405,,,1912-01-31 12:00,96.006,,,1913-02-13 12:00,276.461,,,1913-12-18 12:00,96.04,,,1915-01-01 12:00,276.494,,,1915-11-05 12:00,96.086,,,1916-11-18 12:00,276.545,,,1917-09-22 12:00,96.123,,,1918-10-05 12:00,276.0,,,1919-08-10 12:00,96.163,,,1920-08-22 12:00,276.015,,,1921-06-27 12:00,96.211,,,1922-07-10 12:00,276.055,,,1923-05-15 12:00,96.24,,,1924-05-27 12:00,276.097,,,1925-04-01 12:00,96.265,,,1926-04-14 12:00,276.121,,,1927-02-17 12:00,96.299,,,1928-03-01 12:00,276.165,,,1929-01-04 12:00,96.336,,,1930-01-17 12:00,276.22,,,1930-11-21 12:00,95.895,,,1931-12-05 12:00,276.237,,,1932-10-08 12:00,95.949,,,1933-10-22 12:00,276.272,,,1934-08-26 12:00,95.989,,,1935-09-09 12:00,276.331,,
,,,,1906-06-11 12:00,96.375,,,1907-06-25 12:00,276.933,,,1908-04-28 12:00,96.42,,,1909-05-12 12:00,276.939,,,1910-03-16 12:00,96.461,,,1911-03-30 12:00,276.99,,,1912-02-01 12:00,96.486,,,1913-02-14 12:00,277.046,,,1913-12-19 12:00,96.52,,,1915-01-02 12:00,277.08,,,1915-11-06 12:00,96.566,,,1916-11-19 12:00,277.131,,,1917-09-23 12:00,96.603,,,1918-10-06 12:00,276.585,,,1919-08-11 12:00,96.643,,,1920-08-23 12:00,276.599,,,1921-06-28 12:00,96.691,,,1922-07-11 12:00,276.639,,,1923-05-16 12:00,96.72,,,1924-05-28 12:00,276.681,,,1925-04-02 12:00,96.746,,,1926-04-15 12:00,276.705,,,1927-02-18 12:00,96.779,,,1928-03-02 12:00,276.75,,,1929-01-05 12:00,96.816,,,1930-01-18 12:00,276.805,,,1930-11-22 12:00,96.375,,,1931-12-06 12:00,276.821,,,1932-10-09 12:00,96.43,,,1933-10-23 12:00,276.856,,,1934-08-27 12:00,96.47,,,1935-09-10 12:00,276.916,,
,,,,1906-06-12 12:00,96.854,,,1907-06-26 12:00,277.519,,,1908-04-29 12:00,96.9,,,1909-05-13 12:00,277.525,,,1910-03-17 12:00,96.94,,,1911-03-31 12:00,277.576,,,1912-02-02 12:00,96.965,,,1913-02-15 12:00,277.633,,,1913-12-20 12:00,97.0,,,1915-01-03 12:00,277.666,,,1915-11-07 12:00,97.045,,,1916-11-20 12:00,277.717,,,1917-09-24 12:00,97.082,,,1918-10-07 12:00,277.17,,,1919-08-12 12:00,97.123,,,1920-08-24 12:00,277.185,,,1921-06-29 12:00,97.17,,,1922-07-12 12:00,277.224,,,1923-05-17 12:00,97.2,,,1924-05-29 12:00,277.267,,,1925-04-03 12:00,97.225,,,1926-04-16 12:00,277.291,,,1927-02-19 12:00,97.259,,,1928-03-03 12:00,277.335,,,1929-01-06 12:00,97.296,,,1930-01-19 12:00,277.39,,,1930-11-23 12:00,96.855,,,1931-12-07 12:00,277.407,,,1932-10-10 12:00,96.91,,,1933-10-24 12:00,277.442,,,1934-08-28 12:00,96.95,,,1935-09-11 12:00,277.501,,
,,,,1906-06-13 12:00,97.333,,,1907-06-27 12:00,278.107,,,1908-04-30 12:00,97.378,,,1909-05-14 12:00,278.112,,,1910-03-18 12:00,97.419,,,1911-04-01 12:00,278.163,,,1912-02-03 12:00,97.444,,,1913-02-16 12:00,278.22,,,1913-12-21 12:00,97.478,,,1915-01-04 12:00,278.253,,,1915-11-08 12:00,97.524,,,1916-11-21 12:00,278.304,,,1917-09-25 12:00,97.561,,,1918-10-08 12:00,277.756,,,1919-08-13 12:00,97.601,,,1920-08-25 12:00,277.771,,,1921-06-30 12:00,97.649,,,1922-07-13 12:00,277.81,,,1923-05-18 12:00,97.678,,,1924-05-30 12:00,277.853,,,1925-04-04 12:00,97.704,,,1926-04-17 12:00,277.877,,,1927-02-20 12:00,97.737,,,1928-03-04 12:00,277.921,,,1929-01-07 12:00,97.775,,,1930-01-20 12:00,277.977,,,1930-11-24 12:00,97.335,,,1931-12-08 12:00,277.993,,,1932-10-11 12:00,97.389,,,1933-10-25 12:00,278.028,,,1934-08-29 12:00,97.429,,,1935-09-12 12:00,278.087,,
,,,,1906-06-14 12:00,97.811,,,1907-06-28 12:00,278.695,,,1908-05-01 12:00,97.856,,,1909-05-15 12:00,278.7,,,1910-03-19 12:00,97.897,,,1911-04-02 12:00,278.751,,,1912-02-04 12:00,97.922,,,1913-02-17 12:00,278.808,,,1913-12-22 12:00,97.956,,,1915-01-05 12:00,278.841,,,1915-11-09 12:00,98.002,,,1916-11-22 12:00,278.892,,,1917-09-26 12:00,98.039,,,1918-10-09 12:00,278.344,,,1919-08-14 12:00,98.079,,,1920-08-26 12:00,278.358,,,1921-07-01 12:00,98.127,,,1922-07-14 12:00,278.397,,,1923-05-19 12:00,98.157,,,1924-05-31 12:00,278.44,,,1925-04-05 12:00,98.182,,,1926-04-18 12:00,278.464,,,1927-02-21 12:00,98.215,,,1928-03-05 12:00,278.508,,,1929-01-08 12:00,98.253,,,1930-01-21 12:00,278.564,,,1930-11-25 12:00,97.813,,,1931-12-09 12:00,278.581,,,1932-10-12 12:00,97.867,,,1933-10-26 12:00,278.615,,,1934-08-30 12:00,97.908,,,1935-09-13 12:00,278.674,,
,,,,1906-06-15 12:00,98.289,,,1907-06-29 12:00,279.284,,,1908-05-02 12:00,98.333,,,1909-05-16 12:00,279.289,,,1910-03-20 12:00,98.374,,,1911-04-03 12:00,279.34,,,1912-02-05 12:00,98.4,,,1913-02-18 12:00,279.397,,,1913-12-23 12:00,98.434,,,1915-01-06 12:00,279.43,,,1915-11-10 12:00,98.48,,,1916-11-23 12:00,279.48,,,1917-09-27 12:00,98.517,,,1918-10-10 12:00,278.932,,,1919-08-15 12:00,98.557,,,1920-08-27 12:00,278.946,,,1921-07-02 12:00,98.604,,,1922-07-15 12:00,278.985,,,1923-05-20 12:00,98.634,,,1924-06-01 12:00,279.028,,,1925-04-06 12:00,98.659,,,1926-04-19 12:00,279.052,,,1927-02-22 12:00,98.693,,,1928-03-06 12:00,279.096,,,1929-01-09 12:00,98.73,,,1930-01-22 12:00,279.152,,,1930-11-26 12:00,98.292,,,1931-12-10 12:00,279.169,,,1932-10-13 12:00,98.345,,,1933-10-27 12:00,279.203,,,1934-08-31 12:00,98.386,,,1935-09-14 12:00,279.262,,
,,,,1906-06-16 12:00,98.765,,,1907-06-30 12:00,279.874,,,1908-05-03 12:00,98.81,,,1909-05-17 12:00,279.879,,,1910-03-21 12:00,98.851,,,1911-04-04 12:00,279.929,,,1912-02-06 12:00,98.877,,,1913-02-19 12:00,279.987,,,1913-12-24 12:00,98.911,,,1915-01-07 12:00,280.02,,,1915-11-11 12:00,98.956,,,1916-11-24 12:00,280.07,,,1917-09-28 12:00,98.993,,,1918-10-11 12:00,279.521,,,1919-08-16 12:00,99.033,,,1920-08-28 12:00,279.535,,,1921-07-03 12:00,99.081,,,1922-07-16 12:00,279.574,,,1923-05-21 12:00,99.111,,,1924-06-02 12:00,279.617,,,1925-04-07 12:00,99.136,,,1926-04-20 12:00,279.641,,,1927-02-23 12:00,99.17,,,1928-03-07 12:00,279.685,,,1929-01-10 12:00,99.207,,,1930-01-23 12:00,279.741,,,1930-11-27 12:00,98.769,,,1931-12-11 12:00,279.758,,,1932-10-14 12:00,98.823,,,1933-10-28 12:00,279.792,,,1934-09-01 12:00,98.863,,,1935-09-15 12:00,279.851,,
,,,,1906-06-17 12:00,99.241,,,1907-07-01 12:00,280.465,,,1908-05-04 12:00,99.286,,,1909-05-18 12:00,280.469,,,1910-03-22 12:00,99.327,,,1911-04-05 12:00,280.52,,,1912-02-07 12:00,99.353,,,1913-02-20 12:00,280.577,,,1913-12-25 12:00,99.387,,,1915-01-08 12:00,280.61,,,1915-11-12 12:00,99.433,,,1916-11-25 12:00,280.661,,,1917-09-29 12:00,99.469,,,1918-10-12 12:00,280.111,,,1919-08-17 12:00,99.509,,,1920-08-29 12:00,280.125,,,1921-07-04 12:00,99.557,,,1922-07-17 12:00,280.164,,,1923-05-22 12:00,99.587,,,1924-06-03 12:00,280.207,,,1925-04-08 12:00,99.612,,,1926-04-21 12:00,280.231,,,1927-02-24 12:00,99.646,,,1928-03-08 12:00,280.274,,,1929-01-11 12:00,99.683,,,1930-01-24 12:00,280.331,,,1930-11-28 12:00,99.246,,,1931-12-12 12:00,280.348,,,1932-10-15 12:00,99.299,,,1933-10-29 12:00,280.382,,,1934-09-02 12:00,99.34,,,1935-09-16 12:00,280.441,,
,,,,1906-06-18 12:00,99.717,,,1907-07-02 12:00,281.056,,,1908-05-05 12:00,99.761,,,1909-05-19 12:00,281.061,,,1910-03-23 12:00,99.803,,,1911-04-06 12:00,281.111,,,1912-02-08 12:00,99.828,,,1913-02-21 12:00,281.169,,,1913-12-26 12:00,99.863,,,1915-01-09 12:00,281.202,,,1915-11-13 12:00,99.908,,,1916-11-26 12:00,281.252,,,1917-09-30 12:00,99.945,,,1918-10-13 12:00,280.702,,,1919-08-18 12:00,99.985,,,1920-08-30 12:00,280.716,,,1921-07-05 12:00,100.032,,,1922-07-18 12:00,280.754,,,1923-05-23 12:00,100.062,,,1924-06-04 12:00,280.797,,,1925-04-09 12:00,100.088,,,1926-04-22 12:00,280.821,,,1927-02-25 12:00,100.121,,,1928-03-09 12:00,280.865,,,1929-01-12 12:00,100.158,,,1930-01-25 12:00,280.922,,,1930-11-29 12:00,99.722,,,1931-12-13 12:00,280.939,,,1932-10-16 12:00,99.775,,,1933-10-30 12:00,280.972,,,1934-09-03 12:00,99.816,,,1935-09-17 12:00,281.031,,
