Timestamp,G.Jupiter,HighPrice,LowPrice,Timestamp,G.Jupiter,HighPrice,LowPrice,Timestamp,G.Jupiter,HighPrice,LowPrice
,,,,1926-02-06 12:00,307.466,,,1931-08-20 12:00,127.591,,
,,,,1926-02-07 12:00,307.701,,,1931-08-21 12:00,127.806,,
,,,,1926-02-08 12:00,307.935,,,1931-08-22 12:00,128.021,,
,,,,1926-02-09 12:00,308.17,,,1931-08-23 12:00,128.235,,
,,,,1926-02-10 12:00,308.404,,,1931-08-24 12:00,128.449,,
,,,,1926-02-11 12:00,308.638,,,1931-08-25 12:00,128.661,,
,,,,1926-02-12 12:00,308.871,,,1931-08-26 12:00,128.874,,
,,,,1926-02-13 12:00,309.104,,,1931-08-27 12:00,129.085,,
,,,,1926-02-14 12:00,309.337,,,1931-08-28 12:00,129.296,,
,,,,1926-02-15 12:00,309.569,,,1931-08-29 12:00,129.506,,
,,,,1926-02-16 12:00,309.801,,,1931-08-30 12:00,129.716,,
,,,,1926-02-17 12:00,310.032,,,1931-08-31 12:00,129.924,,
,,,,1926-02-18 12:00,310.262,,,1931-09-01 12:00,130.132,,
,,,,1926-02-19 12:00,310.493,,,1931-09-02 12:00,130.34,,
,,,,1926-02-20 12:00,310.722,,,1931-09-03 12:00,130.546,,
,,,,1926-02-21 12:00,310.951,,,1931-09-04 12:00,130.752,,
,,,,1926-02-22 12:00,311.18,,,1931-09-05 12:00,130.957,,
,,,,1926-02-23 12:00,311.407,,,1931-09-06 12:00,131.161,,
,,,,1926-02-24 12:00,311.634,,,1931-09-07 12:00,131.364,,
,,,,1926-02-25 12:00,311.861,,,1931-09-08 12:00,131.566,,
,,,,1926-02-26 12:00,312.087,,,1931-09-09 12:00,131.767,,
,,,,1926-02-27 12:00,312.312,,,1931-09-10 12:00,131.968,,
,,,,1926-02-28 12:00,312.536,,,1931-09-11 12:00,132.167,,
,,,,1926-03-01 12:00,312.76,,,1931-09-12 12:00,132.365,,
,,,,1926-03-02 12:00,312.982,,,1931-09-13 12:00,132.562,,
,,,,1926-03-03 12:00,313.204,,,1931-09-14 12:00,132.758,,
,,,,1926-03-04 12:00,313.426,,,1931-09-15 12:00,132.954,,
,,,,1926-03-05 12:00,313.646,,,1931-09-16 12:00,133.147,,
,,,,1926-03-06 12:00,313.866,,,1931-09-17 12:00,133.34,,
,,,,1926-03-07 12:00,314.084,,,1931-09-18 12:00,133.532,,
,,,,1926-03-08 12:00,314.302,,,1931-09-19 12:00,133.722,,
,,,,1926-03-09 12:00,314.519,,,1931-09-20 12:00,133.912,,
,,,,1926-03-10 12:00,314.735,,,1931-09-21 12:00,134.1,,
,,,,1926-03-11 12:00,314.95,,,1931-09-22 12:00,134.286,,
,,,,1926-03-12 12:00,315.164,,,1931-09-23 12:00,134.472,,
,,,,1926-03-13 12:00,315.377,,,1931-09-24 12:00,134.656,,
,,,,1926-03-14 12:00,315.589,,,1931-09-25 12:00,134.838,,
,,,,1926-03-15 12:00,315.799,,,1931-09-26 12:00,135.02,,
,,,,1926-03-16 12:00,316.009,,,1931-09-27 12:00,135.2,,
,,,,1926-03-17 12:00,316.217,,,1931-09-28 12:00,135.378,,
,,,,1926-03-18 12:00,316.425,,,1931-09-29 12:00,135.556,,
