Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice,Timestamp,G.Mars,HighPrice,LowPrice
,,,,1926-09-04 12:00,45.403,,,1926-10-24 12:00,44.897,,,1927-01-21 12:00,45.347,,,1927-11-17 12:00,225.513,,,1928-07-18 12:00,45.737,,,1929-10-28 12:00,225.267,,,1930-06-24 12:00,45.876,,,1931-10-09 12:00,225.277,,,1932-06-02 12:00,45.783,,,1933-09-18 12:00,225.547,,,1934-05-13 12:00,45.591,,,1935-08-25 12:00,225.807,,
,,,,1926-09-05 12:00,45.709,,,1926-10-25 12:00,44.571,,,1927-01-22 12:00,45.756,,,1927-11-18 12:00,226.205,,,1928-07-19 12:00,46.422,,,1929-10-29 12:00,225.965,,,1930-06-25 12:00,46.6,,,1931-10-10 12:00,225.974,,,1932-06-03 12:00,46.515,,,1933-09-19 12:00,226.229,,,1934-05-14 12:00,46.321,,,1935-08-26 12:00,226.433,,
,,,,1926-09-06 12:00,46.005,,,1926-10-26 12:00,44.238,,,1927-01-23 12:00,46.171,,,1927-11-19 12:00,226.897,,,1928-07-20 12:00,47.106,,,1929-10-30 12:00,226.664,,,1930-06-26 12:00,47.323,,,1931-10-11 12:00,226.672,,,1932-06-04 12:00,47.246,,,1933-09-20 12:00,226.913,,,1934-05-15 12:00,47.051,,,1935-08-27 12:00,227.061,,
,,,,1926-09-07 12:00,46.29,,,1926-10-27 12:00,43.9,,,1927-01-24 12:00,46.59,,,1927-11-20 12:00,227.59,,,1928-07-21 12:00,47.787,,,1929-10-31 12:00,227.364,,,1930-06-27 12:00,48.045,,,1931-10-12 12:00,227.371,,,1932-06-05 12:00,47.976,,,1933-09-21 12:00,227.598,,,1934-05-16 12:00,47.78,,,1935-08-28 12:00,227.692,,
,,,,1926-09-08 12:00,46.564,,,1926-10-28 12:00,43.557,,,1927-01-25 12:00,47.014,,,1927-11-21 12:00,228.284,,,1928-07-22 12:00,48.467,,,1929-11-01 12:00,228.065,,,1930-06-28 12:00,48.765,,,1931-10-13 12:00,228.071,,,1932-06-06 12:00,48.706,,,1933-09-22 12:00,228.285,,,1934-05-17 12:00,48.508,,,1935-08-29 12:00,228.325,,
,,,,1926-09-09 12:00,46.827,,,1926-10-29 12:00,43.21,,,1927-01-26 12:00,47.442,,,1927-11-22 12:00,228.978,,,1928-07-23 12:00,49.145,,,1929-11-02 12:00,228.767,,,1930-06-29 12:00,49.484,,,1931-10-14 12:00,228.772,,,1932-06-07 12:00,49.434,,,1933-09-23 12:00,228.973,,,1934-05-18 12:00,49.235,,,1935-08-30 12:00,228.961,,
,,,,1926-09-10 12:00,47.078,,,1926-10-30 12:00,42.861,,,1927-01-27 12:00,47.874,,,1927-11-23 12:00,229.674,,,1928-07-24 12:00,49.82,,,1929-11-03 12:00,229.469,,,1930-06-30 12:00,50.202,,,1931-10-15 12:00,229.474,,,1932-06-08 12:00,50.161,,,1933-09-24 12:00,229.662,,,1934-05-19 12:00,49.961,,,1935-08-31 12:00,229.599,,
,,,,1926-09-11 12:00,47.318,,,1926-10-31 12:00,42.509,,,1927-01-28 12:00,48.311,,,1927-11-24 12:00,230.37,,,1928-07-25 12:00,50.494,,,1929-11-04 12:00,230.173,,,1930-07-01 12:00,50.919,,,1931-10-16 12:00,230.178,,,1932-06-09 12:00,50.887,,,1933-09-25 12:00,230.353,,,1934-05-20 12:00,50.686,,,1935-09-01 12:00,230.24,,
,,,,1926-09-12 12:00,47.547,,,1926-11-01 12:00,42.156,,,1927-01-29 12:00,48.752,,,1927-11-25 12:00,231.066,,,1928-07-26 12:00,51.166,,,1929-11-05 12:00,230.877,,,1930-07-02 12:00,51.635,,,1931-10-17 12:00,230.882,,,1932-06-10 12:00,51.612,,,1933-09-26 12:00,231.046,,,1934-05-21 12:00,51.41,,,1935-09-02 12:00,230.883,,
,,,,1926-09-13 12:00,47.763,,,1926-11-02 12:00,41.803,,,1927-01-30 12:00,49.198,,,1927-11-26 12:00,231.764,,,1928-07-27 12:00,51.836,,,1929-11-06 12:00,231.583,,,1930-07-03 12:00,52.349,,,1931-10-18 12:00,231.588,,,1932-06-11 12:00,52.337,,,1933-09-27 12:00,231.739,,,1934-05-22 12:00,52.133,,,1935-09-03 12:00,231.529,,
