Timestamp,G.Mercury,HighPrice,LowPrice,Timestamp,G.Mercury,HighPrice,LowPrice,Timestamp,G.Mercury,HighPrice,LowPrice,Timestamp,G.Mercury,HighPrice,LowPrice,Timestamp,G.Mercury,HighPrice,LowPrice,Timestamp,G.Mercury,HighPrice,LowPrice,Timestamp,G.Mercury,HighPrice,LowPrice,Timestamp,G.Mercury,HighPrice,LowPrice,Timestamp,G.Mercury,HighPrice,LowPrice,Timestamp,G.Mercury,HighPrice,LowPrice,Timestamp,G.Mercury,HighPrice,LowPrice,Timestamp,G.Mercury,HighPrice,LowPrice,Timestamp,G.Mercury,HighPrice,LowPrice,Timestamp,G.Mercury,HighPrice,LowPrice,Timestamp,G.Mercury,HighPrice,LowPrice,Timestamp,G.Mercury,HighPrice,LowPrice,Timestamp,G.Mercury,HighPrice,LowPrice,Timestamp,G.Mercury,HighPrice,LowPrice,Timestamp,G.Mercury,HighPrice,LowPrice,Timestamp,G.Mercury,HighPrice,LowPrice,Timestamp,G.Mercury,HighPrice,LowPrice,Timestamp,G.Mercury,HighPrice,LowPrice,Timestamp,G.Mercury,HighPrice,LowPrice,Timestamp,G.Mercury,HighPrice,LowPrice
,,,,1926-10-23 12:00,230.061,,,1927-05-16 12:00,50.673,,,1927-10-20 12:00,230.72,,,1927-11-08 12:00,228.848,,,1927-12-02 12:00,230.633,,,1928-05-07 12:00,51.919,,,1928-11-25 12:00,230.662,,,1929-04-28 12:00,50.301,,,1929-11-18 12:00,230.802,,,1930-04-22 12:00,51.142,,,1930-11-11 12:00,231.33,,,1931-06-04 12:00,50.017,,,1931-11-03 12:00,230.14,,,1932-05-29 12:00,51.818,,,1932-10-27 12:00,231.348,,,1933-05-21 12:00,51.728,,,1933-10-21 12:00,230.76,,,1933-11-24 12:00,229.85,,,1933-12-02 12:00,230.166,,,1934-05-12 12:00,50.678,,,1934-11-29 12:00,230.189,,,1935-05-04 12:00,51.779,,,1935-11-23 12:00,231.184,,
,,,,1926-10-24 12:00,231.412,,,1927-05-17 12:00,52.829,,,1927-10-21 12:00,231.574,,,1927-11-09 12:00,227.531,,,1927-12-03 12:00,231.969,,,1928-05-08 12:00,54.074,,,1928-11-26 12:00,232.216,,,1929-04-29 12:00,52.269,,,1929-11-19 12:00,232.399,,,1930-04-23 12:00,52.489,,,1930-11-12 12:00,232.913,,,1931-06-05 12:00,51.401,,,1931-11-04 12:00,231.682,,,1932-05-30 12:00,53.686,,,1932-10-28 12:00,232.788,,,1933-05-22 12:00,53.823,,,1933-10-22 12:00,231.98,,,1933-11-25 12:00,229.259,,,1933-12-03 12:00,230.88,,,1934-05-13 12:00,52.857,,,1934-11-30 12:00,231.653,,,1935-05-05 12:00,53.875,,,1935-11-24 12:00,232.767,,
,,,,1926-10-25 12:00,232.746,,,1927-05-18 12:00,55.0,,,1927-10-22 12:00,232.367,,,1927-11-10 12:00,226.201,,,1927-12-04 12:00,233.334,,,1928-05-09 12:00,56.216,,,1928-11-27 12:00,233.772,,,1929-04-30 12:00,54.194,,,1929-11-20 12:00,233.993,,,1930-04-24 12:00,53.758,,,1930-11-13 12:00,234.491,,,1931-06-06 12:00,52.832,,,1931-11-05 12:00,233.217,,,1932-05-31 12:00,55.591,,,1932-10-29 12:00,234.218,,,1933-05-23 12:00,55.944,,,1933-10-23 12:00,233.173,,,1933-11-26 12:00,228.862,,,1933-12-04 12:00,231.698,,,1934-05-14 12:00,55.041,,,1934-12-01 12:00,233.131,,,1935-05-06 12:00,55.944,,,1935-11-25 12:00,234.348,,
,,,,1926-10-26 12:00,234.062,,,1927-05-19 12:00,57.183,,,1927-10-23 12:00,233.091,,,1927-11-11 12:00,224.903,,,1927-12-05 12:00,234.725,,,1928-05-10 12:00,58.34,,,1928-11-28 12:00,235.331,,,1929-05-01 12:00,56.073,,,1929-11-21 12:00,235.583,,,1930-04-25 12:00,54.946,,,1930-11-14 12:00,236.065,,,1931-06-07 12:00,54.309,,,1931-11-06 12:00,234.746,,,1932-06-01 12:00,57.532,,,1932-10-30 12:00,235.636,,,1933-05-24 12:00,58.086,,,1933-10-24 12:00,234.335,,,1933-11-27 12:00,228.657,,,1933-12-05 12:00,232.607,,,1934-05-15 12:00,57.226,,,1934-12-02 12:00,234.621,,,1935-05-07 12:00,57.983,,,1935-11-26 12:00,235.929,,
,,,,1926-10-27 12:00,235.358,,,1927-05-20 12:00,59.372,,,1927-10-24 12:00,233.738,,,1927-11-12 12:00,223.678,,,1927-12-06 12:00,236.137,,,1928-05-11 12:00,60.44,,,1928-11-29 12:00,236.891,,,1929-05-02 12:00,57.902,,,1929-11-22 12:00,237.17,,,1930-04-26 12:00,56.053,,,1930-11-15 12:00,237.634,,,1931-06-08 12:00,55.833,,,1931-11-07 12:00,236.269,,,1932-06-02 12:00,59.508,,,1932-10-31 12:00,237.041,,,1933-05-25 12:00,60.247,,,1933-10-25 12:00,235.464,,,1933-11-28 12:00,228.637,,,1933-12-06 12:00,233.597,,,1934-05-16 12:00,59.407,,,1934-12-03 12:00,236.121,,,1935-05-08 12:00,59.986,,,1935-11-27 12:00,237.509,,
,,,,1926-10-28 12:00,236.632,,,1927-05-21 12:00,61.565,,,1927-10-25 12:00,234.302,,,1927-11-13 12:00,222.566,,,1927-12-07 12:00,237.567,,,1928-05-12 12:00,62.512,,,1928-11-30 12:00,238.453,,,1929-05-03 12:00,59.679,,,1929-11-23 12:00,238.754,,,1930-04-27 12:00,57.077,,,1930-11-16 12:00,239.199,,,1931-06-09 12:00,57.402,,,1931-11-08 12:00,237.785,,,1932-06-03 12:00,61.519,,,1932-11-01 12:00,238.434,,,1933-05-26 12:00,62.424,,,1933-10-26 12:00,236.555,,,1933-11-29 12:00,228.792,,,1933-12-07 12:00,234.658,,,1934-05-17 12:00,61.58,,,1934-12-04 12:00,237.629,,,1935-05-09 12:00,61.95,,,1935-11-28 12:00,239.087,,
,,,,1926-10-29 12:00,237.882,,,1927-05-22 12:00,63.757,,,1927-10-26 12:00,234.773,,,1927-11-14 12:00,221.598,,,1927-12-08 12:00,239.013,,,1928-05-13 12:00,64.553,,,1928-12-01 12:00,240.016,,,1929-05-04 12:00,61.4,,,1929-11-24 12:00,240.336,,,1930-04-28 12:00,58.016,,,1930-11-17 12:00,240.759,,,1931-06-10 12:00,59.017,,,1931-11-09 12:00,239.294,,,1932-06-04 12:00,63.562,,,1932-11-02 12:00,239.812,,,1933-05-27 12:00,64.613,,,1933-10-27 12:00,237.607,,,1933-11-30 12:00,229.108,,,1933-12-08 12:00,235.779,,,1934-05-18 12:00,63.739,,,1934-12-05 12:00,239.144,,,1935-05-10 12:00,63.872,,,1935-11-29 12:00,240.664,,
,,,,1926-10-30 12:00,239.107,,,1927-05-23 12:00,65.943,,,1927-10-27 12:00,235.141,,,1927-11-15 12:00,220.8,,,1927-12-09 12:00,240.472,,,1928-05-14 12:00,66.558,,,1928-12-02 12:00,241.578,,,1929-05-05 12:00,63.063,,,1929-11-25 12:00,241.915,,,1930-04-29 12:00,58.87,,,1930-11-18 12:00,242.316,,,1931-06-11 12:00,60.677,,,1931-11-10 12:00,240.798,,,1932-06-05 12:00,65.636,,,1932-11-03 12:00,241.175,,,1933-05-28 12:00,66.81,,,1933-10-28 12:00,238.613,,,1933-12-01 12:00,229.571,,,1933-12-09 12:00,236.954,,,1934-05-19 12:00,65.881,,,1934-12-06 12:00,240.666,,,1935-05-11 12:00,65.747,,,1935-11-30 12:00,242.239,,
,,,,1926-10-31 12:00,240.303,,,1927-05-24 12:00,68.118,,,1927-10-28 12:00,235.397,,,1927-11-16 12:00,220.189,,,1927-12-10 12:00,241.943,,,1928-05-15 12:00,68.524,,,1928-12-03 12:00,243.142,,,1929-05-06 12:00,64.667,,,1929-11-26 12:00,243.491,,,1930-04-30 12:00,59.638,,,1930-11-19 12:00,243.87,,,1931-06-12 12:00,62.382,,,1931-11-11 12:00,242.295,,,1932-06-06 12:00,67.738,,,1932-11-04 12:00,242.522,,,1933-05-29 12:00,69.01,,,1933-10-29 12:00,239.568,,,,,,,1933-12-10 12:00,238.174,,,1934-05-20 12:00,68.001,,,1934-12-07 12:00,242.192,,,1935-05-12 12:00,67.575,,,1935-12-01 12:00,243.814,,
,,,,1926-11-01 12:00,241.468,,,1927-05-25 12:00,70.278,,,1927-10-29 12:00,235.53,,,1927-11-17 12:00,219.771,,,1927-12-11 12:00,243.424,,,1928-05-16 12:00,70.449,,,1928-12-04 12:00,244.705,,,1929-05-07 12:00,66.21,,,1929-11-27 12:00,245.066,,,1930-05-01 12:00,60.318,,,1930-11-20 12:00,245.42,,,1931-06-13 12:00,64.131,,,1931-11-12 12:00,243.785,,,1932-06-07 12:00,69.866,,,1932-11-05 12:00,243.85,,,1933-05-30 12:00,71.209,,,1933-10-30 12:00,240.469,,,,,,,1933-12-11 12:00,239.434,,,1934-05-21 12:00,70.094,,,1934-12-08 12:00,243.722,,,1935-05-13 12:00,69.352,,,1935-12-02 12:00,245.387,,
