Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice,Timestamp,G.Sun,HighPrice,LowPrice
,,,,1926-10-23 12:00,209.537,,,1927-04-20 12:00,29.618,,,1927-10-24 12:00,210.292,,,1928-04-20 12:00,30.36,,,1928-10-23 12:00,210.051,,,1929-04-20 12:00,30.121,,,1929-10-23 12:00,209.811,,,1930-04-20 12:00,29.88,,,1930-10-23 12:00,209.573,,,1931-04-20 12:00,29.653,,,1931-10-24 12:00,210.327,,,1932-04-20 12:00,30.393,,,1932-10-23 12:00,210.086,,,1933-04-20 12:00,30.156,,,1933-10-23 12:00,209.848,,,1934-04-20 12:00,29.924,,,1934-10-23 12:00,209.607,,,1935-04-20 12:00,29.687,,,1935-10-24 12:00,210.359,,
,,,,1926-10-24 12:00,210.533,,,1927-04-21 12:00,30.594,,,1927-10-25 12:00,211.289,,,1928-04-21 12:00,31.336,,,1928-10-24 12:00,211.048,,,1929-04-21 12:00,31.096,,,1929-10-24 12:00,210.808,,,1930-04-21 12:00,30.855,,,1930-10-24 12:00,210.569,,,1931-04-21 12:00,30.629,,,1931-10-25 12:00,211.324,,,1932-04-21 12:00,31.368,,,1932-10-24 12:00,211.083,,,1933-04-21 12:00,31.132,,,1933-10-24 12:00,210.845,,,1934-04-21 12:00,30.9,,,1934-10-24 12:00,210.603,,,1935-04-21 12:00,30.663,,,1935-10-25 12:00,211.357,,
,,,,1926-10-25 12:00,211.529,,,1927-04-22 12:00,31.569,,,1927-10-26 12:00,212.287,,,1928-04-22 12:00,32.311,,,1928-10-25 12:00,212.045,,,1929-04-22 12:00,32.07,,,1929-10-25 12:00,211.805,,,1930-04-22 12:00,31.83,,,1930-10-25 12:00,211.567,,,1931-04-22 12:00,31.605,,,1931-10-26 12:00,212.321,,,1932-04-22 12:00,32.342,,,1932-10-25 12:00,212.081,,,1933-04-22 12:00,32.107,,,1933-10-25 12:00,211.842,,,1934-04-22 12:00,31.875,,,1934-10-25 12:00,211.6,,,1935-04-22 12:00,31.638,,,1935-10-26 12:00,212.354,,
,,,,1926-10-26 12:00,212.527,,,1927-04-23 12:00,32.543,,,1927-10-27 12:00,213.285,,,1928-04-23 12:00,33.286,,,1928-10-26 12:00,213.042,,,1929-04-23 12:00,33.044,,,1929-10-26 12:00,212.802,,,1930-04-23 12:00,32.805,,,1930-10-26 12:00,212.564,,,1931-04-23 12:00,32.58,,,1931-10-27 12:00,213.318,,,1932-04-23 12:00,33.316,,,1932-10-26 12:00,213.079,,,1933-04-23 12:00,33.081,,,1933-10-26 12:00,212.84,,,1934-04-23 12:00,32.849,,,1934-10-26 12:00,212.597,,,1935-04-23 12:00,32.612,,,1935-10-27 12:00,213.353,,
,,,,1926-10-27 12:00,213.525,,,1927-04-24 12:00,33.518,,,1927-10-28 12:00,214.284,,,1928-04-24 12:00,34.26,,,1928-10-27 12:00,214.04,,,1929-04-24 12:00,34.018,,,1929-10-27 12:00,213.801,,,1930-04-24 12:00,33.779,,,1930-10-27 12:00,213.563,,,1931-04-24 12:00,33.554,,,1931-10-28 12:00,214.316,,,1932-04-24 12:00,34.29,,,1932-10-27 12:00,214.077,,,1933-04-24 12:00,34.055,,,1933-10-27 12:00,213.838,,,1934-04-24 12:00,33.823,,,1934-10-27 12:00,213.595,,,1935-04-24 12:00,33.586,,,1935-10-28 12:00,214.352,,
,,,,1926-10-28 12:00,214.523,,,1927-04-25 12:00,34.491,,,1927-10-29 12:00,215.283,,,1928-04-25 12:00,35.233,,,1928-10-28 12:00,215.039,,,1929-04-25 12:00,34.991,,,1929-10-28 12:00,214.8,,,1930-04-25 12:00,34.753,,,1930-10-28 12:00,214.561,,,1931-04-25 12:00,34.527,,,1931-10-29 12:00,215.315,,,1932-04-25 12:00,35.263,,,1932-10-28 12:00,215.077,,,1933-04-25 12:00,35.029,,,1933-10-28 12:00,214.837,,,1934-04-25 12:00,34.796,,,1934-10-28 12:00,214.594,,,1935-04-25 12:00,34.56,,,1935-10-29 12:00,215.351,,
,,,,1926-10-29 12:00,215.522,,,1927-04-26 12:00,35.465,,,1927-10-30 12:00,216.283,,,1928-04-26 12:00,36.206,,,1928-10-29 12:00,216.038,,,1929-04-26 12:00,35.963,,,1929-10-29 12:00,215.799,,,1930-04-26 12:00,35.726,,,1930-10-29 12:00,215.56,,,1931-04-26 12:00,35.5,,,1931-10-30 12:00,216.314,,,1932-04-26 12:00,36.235,,,1932-10-29 12:00,216.076,,,1933-04-26 12:00,36.002,,,1933-10-29 12:00,215.836,,,1934-04-26 12:00,35.769,,,1934-10-29 12:00,215.593,,,1935-04-26 12:00,35.533,,,1935-10-30 12:00,216.351,,
,,,,1926-10-30 12:00,216.522,,,1927-04-27 12:00,36.437,,,1927-10-31 12:00,217.283,,,1928-04-27 12:00,37.178,,,1928-10-30 12:00,217.037,,,1929-04-27 12:00,36.935,,,1929-10-30 12:00,216.8,,,1930-04-27 12:00,36.699,,,1930-10-30 12:00,216.56,,,1931-04-27 12:00,36.473,,,1931-10-31 12:00,217.314,,,1932-04-27 12:00,37.207,,,1932-10-30 12:00,217.077,,,1933-04-27 12:00,36.975,,,1933-10-30 12:00,216.835,,,1934-04-27 12:00,36.741,,,1934-10-30 12:00,216.592,,,1935-04-27 12:00,36.505,,,1935-10-31 12:00,217.351,,
,,,,1926-10-31 12:00,217.522,,,1927-04-28 12:00,37.41,,,1927-11-01 12:00,218.284,,,1928-04-28 12:00,38.15,,,1928-10-31 12:00,218.037,,,1929-04-28 12:00,37.907,,,1929-10-31 12:00,217.8,,,1930-04-28 12:00,37.671,,,1930-10-31 12:00,217.56,,,1931-04-28 12:00,37.445,,,1931-11-01 12:00,218.314,,,1932-04-28 12:00,38.179,,,1932-10-31 12:00,218.078,,,1933-04-28 12:00,37.947,,,1933-10-31 12:00,217.835,,,1934-04-28 12:00,37.713,,,1934-10-31 12:00,217.593,,,1935-04-28 12:00,37.478,,,1935-11-01 12:00,218.352,,
,,,,1926-11-01 12:00,218.523,,,1927-04-29 12:00,38.382,,,1927-11-02 12:00,219.285,,,1928-04-29 12:00,39.121,,,1928-11-01 12:00,219.038,,,1929-04-29 12:00,38.878,,,1929-11-01 12:00,218.801,,,1930-04-29 12:00,38.643,,,1930-11-01 12:00,218.561,,,1931-04-29 12:00,38.416,,,1931-11-02 12:00,219.315,,,1932-04-29 12:00,39.15,,,1932-11-01 12:00,219.079,,,1933-04-29 12:00,38.918,,,1933-11-01 12:00,218.836,,,1934-04-29 12:00,38.684,,,1934-11-01 12:00,218.594,,,1935-04-29 12:00,38.45,,,1935-11-02 12:00,219.353,,
