Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice,Timestamp,G.Venus,HighPrice,LowPrice
,,,,1926-10-23 12:00,202.293,,,1927-03-16 12:00,22.376,,,1927-12-01 12:00,202.165,,,1928-04-29 12:00,22.289,,,1928-09-23 12:00,203.121,,,1929-02-25 12:00,22.029,,,1929-05-07 12:00,21.951,,,1929-05-16 12:00,22.134,,,1929-11-07 12:00,202.962,,,1930-03-30 12:00,22.077,,,1930-08-30 12:00,202.345,,,1931-05-14 12:00,22.311,,,1931-10-08 12:00,202.59,,,1932-03-02 12:00,22.584,,,1932-11-20 12:00,202.322,,,1933-04-14 12:00,22.487,,,1933-09-09 12:00,202.983,,,1934-05-26 12:00,22.411,,,1934-10-23 12:00,202.983,,,1935-03-16 12:00,23.015,,,1935-12-01 12:00,202.411,,
,,,,1926-10-24 12:00,203.545,,,1927-03-17 12:00,23.6,,,1927-12-02 12:00,203.242,,,1928-04-30 12:00,23.516,,,1928-09-24 12:00,204.353,,,1929-02-26 12:00,22.855,,,1929-05-08 12:00,21.815,,,1929-05-17 12:00,22.339,,,1929-11-08 12:00,204.209,,,1930-03-31 12:00,23.315,,,1930-08-31 12:00,203.387,,,1931-05-15 12:00,23.513,,,1931-10-09 12:00,203.838,,,1932-03-03 12:00,23.754,,,1932-11-21 12:00,203.54,,,1933-04-15 12:00,23.725,,,1933-09-10 12:00,204.173,,,1934-05-27 12:00,23.537,,,1934-10-24 12:00,204.236,,,1935-03-17 12:00,24.239,,,1935-12-02 12:00,203.498,,
,,,,1926-10-25 12:00,204.798,,,1927-03-18 12:00,24.823,,,1927-12-03 12:00,204.323,,,1928-05-01 12:00,24.743,,,1928-09-25 12:00,205.585,,,1929-02-27 12:00,23.668,,,1929-05-09 12:00,21.719,,,1929-05-18 12:00,22.578,,,1929-11-09 12:00,205.456,,,1930-04-01 12:00,24.553,,,1930-09-01 12:00,204.424,,,1931-05-16 12:00,24.715,,,1931-10-10 12:00,205.085,,,1932-03-04 12:00,24.921,,,1932-11-22 12:00,204.759,,,1933-04-16 12:00,24.962,,,1933-09-11 12:00,205.362,,,1934-05-28 12:00,24.664,,,1934-10-25 12:00,205.488,,,1935-03-18 12:00,25.461,,,1935-12-03 12:00,204.591,,
,,,,1926-10-26 12:00,206.051,,,1927-03-19 12:00,26.046,,,1927-12-04 12:00,205.41,,,1928-05-02 12:00,25.97,,,1928-09-26 12:00,206.816,,,1929-02-28 12:00,24.466,,,1929-05-10 12:00,21.664,,,1929-05-19 12:00,22.849,,,1929-11-10 12:00,206.704,,,1930-04-02 12:00,25.79,,,1930-09-02 12:00,205.457,,,1931-05-17 12:00,25.917,,,1931-10-11 12:00,206.333,,,1932-03-05 12:00,26.086,,,1932-11-23 12:00,205.979,,,1933-04-17 12:00,26.199,,,1933-09-12 12:00,206.551,,,1934-05-29 12:00,25.794,,,1934-10-26 12:00,206.742,,,1935-03-19 12:00,26.682,,,1935-12-04 12:00,205.688,,
,,,,1926-10-27 12:00,207.304,,,1927-03-20 12:00,27.268,,,1927-12-05 12:00,206.501,,,1928-05-03 12:00,27.197,,,1928-09-27 12:00,208.047,,,1929-03-01 12:00,25.249,,,1929-05-11 12:00,21.647,,,1929-05-20 12:00,23.153,,,1929-11-11 12:00,207.952,,,1930-04-03 12:00,27.027,,,1930-09-03 12:00,206.485,,,1931-05-18 12:00,27.12,,,1931-10-12 12:00,207.581,,,1932-03-06 12:00,27.249,,,1932-11-24 12:00,207.201,,,1933-04-18 12:00,27.436,,,1933-09-13 12:00,207.738,,,1934-05-30 12:00,26.925,,,1934-10-27 12:00,207.995,,,1935-03-20 12:00,27.902,,,1935-12-05 12:00,206.789,,
,,,,1926-10-28 12:00,208.558,,,1927-03-21 12:00,28.488,,,1927-12-06 12:00,207.596,,,1928-05-04 12:00,28.424,,,1928-09-28 12:00,209.278,,,1929-03-02 12:00,26.016,,,1929-05-12 12:00,21.67,,,1929-05-21 12:00,23.487,,,1929-11-12 12:00,209.201,,,1930-04-04 12:00,28.263,,,1930-09-04 12:00,207.508,,,1931-05-19 12:00,28.323,,,1931-10-13 12:00,208.829,,,1932-03-07 12:00,28.409,,,1932-11-25 12:00,208.423,,,1933-04-19 12:00,28.673,,,1933-09-14 12:00,208.926,,,1934-05-31 12:00,28.058,,,1934-10-28 12:00,209.249,,,1935-03-21 12:00,29.122,,,1935-12-06 12:00,207.894,,
,,,,1926-10-29 12:00,209.812,,,1927-03-22 12:00,29.708,,,1927-12-07 12:00,208.696,,,1928-05-05 12:00,29.651,,,1928-09-29 12:00,210.508,,,1929-03-03 12:00,26.768,,,1929-05-13 12:00,21.731,,,1929-05-22 12:00,23.851,,,1929-11-13 12:00,210.45,,,1930-04-05 12:00,29.499,,,1930-09-05 12:00,208.526,,,1931-05-20 12:00,29.527,,,1931-10-14 12:00,210.078,,,1932-03-08 12:00,29.568,,,1932-11-26 12:00,209.647,,,1933-04-20 12:00,29.909,,,1933-09-15 12:00,210.112,,,1934-06-01 12:00,29.193,,,1934-10-29 12:00,210.503,,,1935-03-22 12:00,30.34,,,1935-12-07 12:00,209.004,,
,,,,1926-10-30 12:00,211.066,,,1927-03-23 12:00,30.927,,,1927-12-08 12:00,209.801,,,1928-05-06 12:00,30.878,,,1928-09-30 12:00,211.739,,,1929-03-04 12:00,27.503,,,1929-05-14 12:00,21.829,,,1929-05-23 12:00,24.244,,,1929-11-14 12:00,211.699,,,1930-04-06 12:00,30.735,,,1930-09-06 12:00,209.538,,,1931-05-21 12:00,30.73,,,1931-10-15 12:00,211.326,,,1932-03-09 12:00,30.723,,,1932-11-27 12:00,210.871,,,1933-04-21 12:00,31.145,,,1933-09-16 12:00,211.297,,,1934-06-02 12:00,30.33,,,1934-10-30 12:00,211.757,,,1935-03-23 12:00,31.558,,,1935-12-08 12:00,210.117,,
,,,,1926-10-31 12:00,212.32,,,1927-03-24 12:00,32.146,,,1927-12-09 12:00,210.909,,,1928-05-07 12:00,32.105,,,1928-10-01 12:00,212.969,,,1929-03-05 12:00,28.22,,,1929-05-15 12:00,21.963,,,1929-05-24 12:00,24.665,,,1929-11-15 12:00,212.949,,,1930-04-07 12:00,31.97,,,1930-09-07 12:00,210.545,,,1931-05-22 12:00,31.934,,,1931-10-16 12:00,212.574,,,1932-03-10 12:00,31.877,,,1932-11-28 12:00,212.097,,,1933-04-22 12:00,32.382,,,1933-09-17 12:00,212.482,,,1934-06-03 12:00,31.468,,,1934-10-31 12:00,213.011,,,1935-03-24 12:00,32.775,,,1935-12-09 12:00,211.235,,
,,,,1926-11-01 12:00,213.575,,,1927-03-25 12:00,33.363,,,1927-12-10 12:00,212.022,,,1928-05-08 12:00,33.332,,,1928-10-02 12:00,214.199,,,1929-03-06 12:00,28.92,,,,,,,1929-05-25 12:00,25.113,,,1929-11-16 12:00,214.199,,,1930-04-08 12:00,33.204,,,1930-09-08 12:00,211.547,,,1931-05-23 12:00,33.138,,,1931-10-17 12:00,213.822,,,1932-03-11 12:00,33.027,,,1932-11-29 12:00,213.323,,,1933-04-23 12:00,33.617,,,1933-09-18 12:00,213.666,,,1934-06-04 12:00,32.608,,,1934-11-01 12:00,214.266,,,1935-03-25 12:00,33.991,,,1935-12-10 12:00,212.356,,
