Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice,Timestamp,H.Mars,HighPrice,LowPrice
,,,,1926-10-23 12:00,34.478,,,1927-11-06 12:00,214.618,,,1928-09-09 12:00,34.508,,,1929-09-23 12:00,214.652,,,1930-07-28 12:00,34.56,,,1931-08-11 12:00,214.678,,,1932-06-14 12:00,34.614,,,1933-06-28 12:00,214.727,,,1934-05-02 12:00,34.636,,,1935-05-16 12:00,214.775,,
,,,,1926-10-24 12:00,35.059,,,1927-11-07 12:00,215.101,,,1928-09-10 12:00,35.089,,,1929-09-24 12:00,215.134,,,1930-07-29 12:00,35.141,,,1931-08-12 12:00,215.161,,,1932-06-15 12:00,35.196,,,1933-06-29 12:00,215.21,,,1934-05-03 12:00,35.218,,,1935-05-17 12:00,215.258,,
,,,,1926-10-25 12:00,35.639,,,1927-11-08 12:00,215.584,,,1928-09-11 12:00,35.669,,,1929-09-25 12:00,215.618,,,1930-07-30 12:00,35.721,,,1931-08-13 12:00,215.644,,,1932-06-16 12:00,35.776,,,1933-06-30 12:00,215.693,,,1934-05-04 12:00,35.798,,,1935-05-18 12:00,215.741,,
,,,,1926-10-26 12:00,36.219,,,1927-11-09 12:00,216.068,,,1928-09-12 12:00,36.249,,,1929-09-26 12:00,216.102,,,1930-07-31 12:00,36.3,,,1931-08-14 12:00,216.128,,,1932-06-17 12:00,36.356,,,1933-07-01 12:00,216.177,,,1934-05-05 12:00,36.378,,,1935-05-19 12:00,216.225,,
,,,,1926-10-27 12:00,36.797,,,1927-11-10 12:00,216.552,,,1928-09-13 12:00,36.828,,,1929-09-27 12:00,216.587,,,1930-08-01 12:00,36.879,,,1931-08-15 12:00,216.612,,,1932-06-18 12:00,36.934,,,1933-07-02 12:00,216.662,,,1934-05-06 12:00,36.957,,,1935-05-20 12:00,216.71,,
,,,,1926-10-28 12:00,37.375,,,1927-11-11 12:00,217.038,,,1928-09-14 12:00,37.405,,,1929-09-28 12:00,217.072,,,1930-08-02 12:00,37.456,,,1931-08-16 12:00,217.098,,,1932-06-19 12:00,37.512,,,1933-07-03 12:00,217.147,,,1934-05-07 12:00,37.535,,,1935-05-21 12:00,217.195,,
,,,,1926-10-29 12:00,37.952,,,1927-11-12 12:00,217.524,,,1928-09-15 12:00,37.982,,,1929-09-29 12:00,217.558,,,1930-08-03 12:00,38.033,,,1931-08-17 12:00,217.584,,,1932-06-20 12:00,38.089,,,1933-07-04 12:00,217.633,,,1934-05-08 12:00,38.112,,,1935-05-22 12:00,217.681,,
,,,,1926-10-30 12:00,38.527,,,1927-11-13 12:00,218.011,,,1928-09-16 12:00,38.558,,,1929-09-30 12:00,218.045,,,1930-08-04 12:00,38.609,,,1931-08-18 12:00,218.07,,,1932-06-21 12:00,38.665,,,1933-07-05 12:00,218.12,,,1934-05-09 12:00,38.687,,,1935-05-23 12:00,218.168,,
,,,,1926-10-31 12:00,39.102,,,1927-11-14 12:00,218.498,,,1928-09-17 12:00,39.133,,,1929-10-01 12:00,218.533,,,1930-08-05 12:00,39.184,,,1931-08-19 12:00,218.558,,,1932-06-22 12:00,39.239,,,1933-07-06 12:00,218.607,,,1934-05-10 12:00,39.262,,,1935-05-24 12:00,218.656,,
,,,,1926-11-01 12:00,39.676,,,1927-11-15 12:00,218.986,,,1928-09-18 12:00,39.707,,,1929-10-02 12:00,219.021,,,1930-08-06 12:00,39.757,,,1931-08-20 12:00,219.046,,,1932-06-23 12:00,39.813,,,1933-07-07 12:00,219.095,,,1934-05-11 12:00,39.836,,,1935-05-25 12:00,219.144,,
,,,,1926-11-02 12:00,40.249,,,1927-11-16 12:00,219.475,,,1928-09-19 12:00,40.28,,,1929-10-03 12:00,219.51,,,1930-08-07 12:00,40.33,,,1931-08-21 12:00,219.535,,,1932-06-24 12:00,40.386,,,1933-07-08 12:00,219.584,,,1934-05-12 12:00,40.41,,,1935-05-26 12:00,219.633,,
,,,,1926-11-03 12:00,40.821,,,1927-11-17 12:00,219.965,,,1928-09-20 12:00,40.852,,,1929-10-04 12:00,220.0,,,1930-08-08 12:00,40.902,,,1931-08-22 12:00,220.025,,,1932-06-25 12:00,40.958,,,1933-07-09 12:00,220.074,,,1934-05-13 12:00,40.982,,,1935-05-27 12:00,220.122,,
,,,,1926-11-04 12:00,41.392,,,1927-11-18 12:00,220.455,,,1928-09-21 12:00,41.423,,,1929-10-05 12:00,220.49,,,1930-08-09 12:00,41.473,,,1931-08-23 12:00,220.515,,,1932-06-26 12:00,41.529,,,1933-07-10 12:00,220.564,,,1934-05-14 12:00,41.553,,,1935-05-28 12:00,220.613,,
,,,,1926-11-05 12:00,41.962,,,1927-11-19 12:00,220.946,,,1928-09-22 12:00,41.994,,,1929-10-06 12:00,220.981,,,1930-08-10 12:00,42.043,,,1931-08-24 12:00,221.006,,,1932-06-27 12:00,42.1,,,1933-07-11 12:00,221.055,,,1934-05-15 12:00,42.123,,,1935-05-29 12:00,221.104,,
,,,,1926-11-06 12:00,42.532,,,1927-11-20 12:00,221.438,,,1928-09-23 12:00,42.563,,,1929-10-07 12:00,221.473,,,1930-08-11 12:00,42.612,,,1931-08-25 12:00,221.498,,,1932-06-28 12:00,42.669,,,1933-07-12 12:00,221.547,,,1934-05-16 12:00,42.693,,,1935-05-30 12:00,221.596,,
,,,,1926-11-07 12:00,43.1,,,1927-11-21 12:00,221.931,,,1928-09-24 12:00,43.131,,,1929-10-08 12:00,221.966,,,1930-08-12 12:00,43.181,,,1931-08-26 12:00,221.991,,,1932-06-29 12:00,43.237,,,1933-07-13 12:00,222.04,,,1934-05-17 12:00,43.261,,,1935-05-31 12:00,222.089,,
,,,,1926-11-08 12:00,43.667,,,1927-11-22 12:00,222.424,,,1928-09-25 12:00,43.699,,,1929-10-09 12:00,222.46,,,1930-08-13 12:00,43.748,,,1931-08-27 12:00,222.484,,,1932-06-30 12:00,43.804,,,1933-07-14 12:00,222.533,,,1934-05-18 12:00,43.829,,,1935-06-01 12:00,222.582,,
