"Date","Open","High","Low","Close","Volume","OpenInt"
01/01/1927,10,20,10,20,0,0
01/15/1927,10,20,10,20,0,0
01/24/1927,13.80,13.80,13.80,13.80,0,0
02/23/1927,10,20,10,20,0,0
03/02/1927,14.80,14.80,14.80,14.80,0,0
03/15/1927,13.75,13.75,13.75,13.75,0,0
04/05/1927,10,20,10,20,0,0
04/20/1927,10,20,10,20,0,0
04/25/1927,15.40,15.40,15.40,15.40,0,0
04/30/1927,10,20,10,20,0,0
05/07/1927,10,20,10,20,0,0
05/08/1927,10,20,10,20,0,0
05/18/1927,10,20,10,20,0,0
05/21/1927,10,20,10,20,0,0
05/28/1927,16.40,16.40,16.40,16.40,0,0
06/01/1927,16.80,16.80,16.80,16.80,0,0
