Timestamp,G.Moon,HighPrice,LowPrice,Timestamp,G.Moon,HighPrice,LowPrice,Timestamp,G.Moon,HighPrice,LowPrice,Timestamp,G.Moon,HighPrice,LowPrice,Timestamp,G.Moon,HighPrice,LowPrice,Timestamp,G.Moon,HighPrice,LowPrice,Timestamp,G.Moon,HighPrice,LowPrice,Timestamp,G.Moon,HighPrice,LowPrice,Timestamp,G.Moon,HighPrice,LowPrice,Timestamp,G.Moon,HighPrice,LowPrice,Timestamp,G.Moon,HighPrice,LowPrice
,,,,1984-02-06 12:00,8.397,1193.15,1167.92,1987-05-22 12:00,3.104,2258.42,2220.15,1990-09-06 12:00,5.065,2633.17,2575.99,1993-12-21 12:00,8.256,3774.77,3719.72,1997-04-06 12:00,6.596,,,2000-07-22 12:00,8.91499999999,,,2003-11-05 12:00,6.113,9883.86,9746.98,2007-02-20 12:00,13.505,12845.76,12675.04,2010-06-06 12:00,5.671,,,2013-09-19 12:00,0.0229999999865,,
,,,,1984-02-07 12:00,20.372,1187.29,1161.12,1987-05-23 12:00,16.222,,,1990-09-07 12:00,19.295,2635.89,2577.72,1993-12-22 12:00,20.088,3780.64,3725.86,1997-04-07 12:00,21.312,6639.00,6508.70,2000-07-23 12:00,21.877,,,2003-11-06 12:00,18.254,9888.90,9738.53,2007-02-21 12:00,28.153,12813.88,12662.79,2010-06-07 12:00,18.039,10025.84,9798.73,2013-09-20 12:00,13.68,,
,,,,1984-02-08 12:00,32.497,1188.76,1151.28,1987-05-24 12:00,29.122,,,1990-09-08 12:00,33.639,,,1993-12-23 12:00,31.944,3791.81,3739.56,1997-04-08 12:00,35.796,6638.62,6491.71,2000-07-24 12:00,35.186,10895.84,10545.47,2003-11-07 12:00,30.256,9945.71,9770.31,2007-02-22 12:00,42.565,12792.97,12621.93,2010-06-08 12:00,30.706,9971.57,9726.33,2013-09-21 12:00,26.977,,
,,,,1984-02-09 12:00,44.848,1167.29,1139.03,1987-05-25 12:00,41.827,,,1990-09-09 12:00,48.011,,,1993-12-24 12:00,43.902,,,1997-04-09 12:00,49.948,6662.41,6521.16,2000-07-25 12:00,48.873,10867.20,10557.49,2003-11-08 12:00,42.154,,,2007-02-23 12:00,56.691,12726.79,12578.51,2010-06-09 12:00,43.712,10093.33,9859.04,2013-09-22 12:00,39.909,,
,,,,1984-02-10 12:00,57.504,1167.92,1149.92,1987-05-26 12:00,54.356,2305.52,2252.88,1990-09-10 12:00,62.337,2665.35,2600.99,1993-12-25 12:00,56.032,,,1997-04-10 12:00,63.706,6626.91,6495.48,2000-07-26 12:00,62.95,10790.13,10447.18,2003-11-09 12:00,53.983,,,2007-02-24 12:00,70.509,,,2010-06-10 12:00,57.072,10206.61,9901.67,2013-09-23 12:00,52.502,,
,,,,1984-02-11 12:00,70.545,,,1987-05-27 12:00,66.72,2320.24,2274.27,1990-09-11 12:00,76.564,2635.64,2586.88,1993-12-26 12:00,68.388,,,1997-04-11 12:00,77.043,6529.48,6358.42,2000-07-27 12:00,77.402,10745.93,10450.01,2003-11-10 12:00,65.777,9861.05,9702.46,2007-02-25 12:00,84.02,,,2010-06-11 12:00,70.774,10235.10,10038.31,2013-09-24 12:00,64.803,,
,,,,1984-02-12 12:00,84.037,,,1987-05-28 12:00,78.933,2323.57,2265.93,1990-09-12 12:00,90.656,2639.11,2592.33,1993-12-27 12:00,81.012,3804.95,3750.46,1997-04-12 12:00,89.972,,,2000-07-28 12:00,92.174,10732.14,10367.28,2003-11-11 12:00,77.576,9801.21,9673.64,2007-02-26 12:00,97.239,12746.34,12562.72,2010-06-12 12:00,84.779,,,2013-09-25 12:00,76.879,,
,,,,1984-02-13 12:00,98.022,1164.05,1139.97,1987-05-29 12:00,91.009,2332.39,2281.10,1990-09-13 12:00,104.594,2629.21,2570.54,1993-12-28 12:00,93.921,3813.33,3766.10,1997-04-13 12:00,102.531,,,2000-07-29 12:00,107.173,,,2003-11-12 12:00,89.422,9882.60,9700.02,2007-02-27 12:00,110.189,12628.90,12078.85,2010-06-13 12:00,99.023,,,2013-09-26 12:00,88.809,,
,,,,1984-02-14 12:00,112.499,1170.54,1147.09,1987-05-30 12:00,102.972,,,1990-09-14 12:00,118.367,2585.15,2545.54,1993-12-29 12:00,107.116,3818.92,3764.43,1997-04-14 12:00,114.785,6487.22,6315.84,2000-07-30 12:00,122.271,,,2003-11-13 12:00,101.366,9895.71,9740.53,2007-02-28 12:00,122.897,12396.81,12122.03,2010-06-14 12:00,113.428,10354.97,10175.02,2013-09-27 12:00,100.673,,
,,,,1984-02-15 12:00,127.407,1175.67,1154.31,1987-05-31 12:00,114.854,,,1990-09-15 12:00,131.97,,,1993-12-30 12:00,120.573,3806.34,3759.96,1997-04-15 12:00,126.809,6626.09,6457.92,2000-07-31 12:00,137.322,10727.09,10374.00,2003-11-14 12:00,113.463,9919.19,9709.13,2007-03-01 12:00,135.391,12338.89,11996.17,2010-06-15 12:00,127.908,10416.11,10192.40,2013-09-28 12:00,112.555,,
,,,,1984-02-16 12:00,142.627,1164.99,1143.74,1987-06-01 12:00,126.701,2319.78,2277.00,1990-09-16 12:00,145.396,,,1993-12-31 12:00,134.255,3804.11,3745.15,1997-04-16 12:00,138.683,6708.77,6506.08,2000-08-01 12:00,152.181,10728.92,10428.58,2003-11-15 12:00,125.775,,,2007-03-02 12:00,147.696,12293.15,12064.91,2010-06-16 12:00,142.381,10456.39,10289.37,2013-09-29 12:00,124.531,,
,,,,1984-02-17 12:00,157.983,1164.36,1141.23,1987-06-02 12:00,138.571,2306.43,2260.62,1990-09-17 12:00,158.632,2585.89,2537.13,1994-01-01 12:00,148.116,,,1997-04-17 12:00,150.49,6750.91,6600.80,2000-08-02 12:00,166.722,10818.66,10514.29,2003-11-16 12:00,138.369,,,2007-03-03 12:00,159.839,,,2010-06-17 12:00,156.778,10479.74,10293.49,2013-09-30 12:00,136.672,,
,,,,1984-02-18 12:00,173.279,,,1987-06-03 12:00,150.534,2330.10,2283.37,1990-09-18 12:00,171.663,2587.87,2524.26,1994-01-02 12:00,162.103,,,1997-04-18 12:00,162.306,6749.71,6616.46,2000-08-03 12:00,180.859,10844.30,10518.68,2003-11-17 12:00,151.308,9775.35,9603.57,2007-03-04 12:00,171.848,,,2010-06-18 12:00,171.043,10513.75,10379.60,2013-10-01 12:00,149.031,,
,,,,1984-02-19 12:00,188.329,,,1987-06-04 12:00,162.668,2343.45,2308.71,1990-09-19 12:00,184.479,2594.55,2534.41,1994-01-03 12:00,176.173,3790.70,3715.24,1997-04-19 12:00,174.202,,,2000-08-04 12:00,194.55,10873.97,10555.68,2003-11-18 12:00,164.647,9792.16,9601.35,2007-03-05 12:00,183.753,12220.16,11973.58,2010-06-19 12:00,185.135,,,2013-10-02 12:00,161.65,,
