Timestamp,G.Moon,HighPrice,LowPrice,Timestamp,G.Moon,HighPrice,LowPrice,Timestamp,G.Moon,HighPrice,LowPrice,Timestamp,G.Moon,HighPrice,LowPrice,Timestamp,G.Moon,HighPrice,LowPrice,Timestamp,G.Moon,HighPrice,LowPrice,Timestamp,G.Moon,HighPrice,LowPrice,Timestamp,G.Moon,HighPrice,LowPrice,Timestamp,G.Moon,HighPrice,LowPrice,Timestamp,G.Moon,HighPrice,LowPrice,Timestamp,G.Moon,HighPrice,LowPrice
,,,,1984-02-06 12:00,8.397,,,1987-05-22 12:00,3.104,,,1990-09-06 12:00,5.065,17.23,16.90,1993-12-21 12:00,8.256,18.15,17.92,1997-04-06 12:00,6.596,,,2000-07-22 12:00,8.91499999999,,,2003-11-05 12:00,6.113,27.44,26.87,2007-02-20 12:00,13.505,53.19,51.80,2010-06-06 12:00,5.671,,,2013-09-19 12:00,0.0229999999865,,
,,,,1984-02-07 12:00,20.372,,,1987-05-23 12:00,16.222,,,1990-09-07 12:00,19.295,17.45,16.90,1993-12-22 12:00,20.088,18.03,17.58,1997-04-07 12:00,21.312,43.65,42.22,2000-07-23 12:00,21.877,,,2003-11-06 12:00,18.254,27.44,27.06,2007-02-21 12:00,28.153,54.09,52.15,2010-06-07 12:00,18.039,40.80,39.90,2013-09-20 12:00,13.68,,
,,,,1984-02-08 12:00,32.497,,,1987-05-24 12:00,29.122,,,1990-09-08 12:00,33.639,,,1993-12-23 12:00,31.944,18.03,17.69,1997-04-08 12:00,35.796,44.72,43.41,2000-07-24 12:00,35.186,34.12,30.50,2003-11-07 12:00,30.256,27.59,26.97,2007-02-22 12:00,42.565,54.95,53.68,2010-06-08 12:00,30.706,40.51,39.64,2013-09-21 12:00,26.977,,
,,,,1984-02-09 12:00,44.848,,,1987-05-25 12:00,41.827,,,1990-09-09 12:00,48.011,,,1993-12-24 12:00,43.902,,,1997-04-09 12:00,49.948,45.08,44.60,2000-07-25 12:00,48.873,32.50,30.56,2003-11-08 12:00,42.154,,,2007-02-23 12:00,56.691,55.00,54.05,2010-06-09 12:00,43.712,41.53,39.76,2013-09-22 12:00,39.909,,
,,,,1984-02-10 12:00,57.504,,,1987-05-26 12:00,54.356,,,1990-09-10 12:00,62.337,17.45,17.23,1993-12-25 12:00,56.032,,,1997-04-10 12:00,63.706,44.72,42.46,2000-07-26 12:00,62.95,31.38,30.12,2003-11-09 12:00,53.983,,,2007-02-24 12:00,70.509,,,2010-06-10 12:00,57.072,41.76,40.63,2013-09-23 12:00,52.502,,
,,,,1984-02-11 12:00,70.545,,,1987-05-27 12:00,66.72,,,1990-09-11 12:00,76.564,17.99,17.34,1993-12-26 12:00,68.388,,,1997-04-11 12:00,77.043,42.58,41.98,2000-07-27 12:00,77.402,32.56,31.06,2003-11-10 12:00,65.777,27.73,27.02,2007-02-25 12:00,84.02,,,2010-06-11 12:00,70.774,41.93,40.59,2013-09-24 12:00,64.803,,
,,,,1984-02-12 12:00,84.037,,,1987-05-28 12:00,78.933,,,1990-09-12 12:00,90.656,18.21,17.88,1993-12-27 12:00,81.012,18.03,17.92,1997-04-12 12:00,89.972,,,2000-07-28 12:00,92.174,33.50,31.88,2003-11-11 12:00,77.576,27.25,26.96,2007-02-26 12:00,97.239,55.28,53.94,2010-06-12 12:00,84.779,,,2013-09-25 12:00,76.879,,
,,,,1984-02-13 12:00,98.022,,,1987-05-29 12:00,91.009,,,1990-09-13 12:00,104.594,18.98,18.21,1993-12-28 12:00,93.921,18.26,17.92,1997-04-13 12:00,102.531,,,2000-07-29 12:00,107.173,,,2003-11-12 12:00,89.422,27.52,27.09,2007-02-27 12:00,110.189,53.99,51.71,2010-06-13 12:00,99.023,,,2013-09-26 12:00,88.809,,
,,,,1984-02-14 12:00,112.499,,,1987-05-30 12:00,102.972,,,1990-09-14 12:00,118.367,19.53,18.76,1993-12-29 12:00,107.116,18.37,17.92,1997-04-14 12:00,114.785,43.65,41.98,2000-07-30 12:00,122.271,,,2003-11-13 12:00,101.366,28.23,27.57,2007-02-28 12:00,122.897,53.12,51.54,2010-06-14 12:00,113.428,41.78,40.74,2013-09-27 12:00,100.673,,
,,,,1984-02-15 12:00,127.407,,,1987-05-31 12:00,114.854,,,1990-09-15 12:00,131.97,,,1993-12-30 12:00,120.573,18.48,18.37,1997-04-15 12:00,126.809,44.25,42.93,2000-07-31 12:00,137.322,32.69,31.38,2003-11-14 12:00,113.463,28.27,27.77,2007-03-01 12:00,135.391,52.94,50.80,2010-06-15 12:00,127.908,42.98,41.34,2013-09-28 12:00,112.555,,
,,,,1984-02-16 12:00,142.627,,,1987-06-01 12:00,126.701,,,1990-09-16 12:00,145.396,,,1993-12-31 12:00,134.255,18.48,18.03,1997-04-16 12:00,138.683,43.77,42.58,2000-08-01 12:00,152.181,33.25,31.88,2003-11-15 12:00,125.775,,,2007-03-02 12:00,147.696,52.48,50.75,2010-06-16 12:00,142.381,42.64,41.00,2013-09-29 12:00,124.531,,
,,,,1984-02-17 12:00,157.983,,,1987-06-02 12:00,138.571,,,1990-09-17 12:00,158.632,19.31,18.98,1994-01-01 12:00,148.116,,,1997-04-17 12:00,150.49,44.36,42.10,2000-08-02 12:00,166.722,34.19,32.69,2003-11-16 12:00,138.369,,,2007-03-03 12:00,159.839,,,2010-06-17 12:00,156.778,42.71,41.77,2013-09-30 12:00,136.672,,
,,,,1984-02-18 12:00,173.279,,,1987-06-03 12:00,150.534,,,1990-09-18 12:00,171.663,19.09,17.99,1994-01-02 12:00,162.103,,,1997-04-18 12:00,162.306,43.29,42.22,2000-08-03 12:00,180.859,33.38,32.00,2003-11-17 12:00,151.308,28.00,27.39,2007-03-04 12:00,171.848,,,2010-06-18 12:00,171.043,43.31,42.46,2013-10-01 12:00,149.031,,
,,,,1984-02-19 12:00,188.329,,,1987-06-04 12:00,162.668,,,1990-09-19 12:00,184.479,18.87,18.43,1994-01-03 12:00,176.173,18.48,18.15,1997-04-19 12:00,174.202,,,2000-08-04 12:00,194.55,33.75,32.31,2003-11-18 12:00,164.647,27.73,27.21,2007-03-05 12:00,183.753,52.46,50.42,2010-06-19 12:00,185.135,,,2013-10-02 12:00,161.65,,
,,,,1984-02-20 12:00,202.994,,,1987-06-05 12:00,175.057,,,1990-09-20 12:00,197.07,18.87,18.43,1994-01-04 12:00,190.288,18.82,18.26,1997-04-20 12:00,186.234,,,2000-08-05 12:00,207.796,,,2003-11-19 12:00,178.424,27.57,26.87,2007-03-06 12:00,195.59,53.32,52.20,2010-06-20 12:00,199.028,,,2013-10-03 12:00,174.548,,
,,,,1984-02-21 12:00,217.193,,,1987-06-06 12:00,187.785,,,1990-09-21 12:00,209.442,19.31,18.76,1994-01-05 12:00,204.42,18.71,18.48,1997-04-21 12:00,198.45,44.25,43.17,2000-08-06 12:00,220.63,,,2003-11-20 12:00,192.646,27.29,26.71,2007-03-07 12:00,207.402,54.80,52.30,2010-06-21 12:00,212.703,43.71,42.40,2013-10-04 12:00,187.726,,
,,,,1984-02-22 12:00,230.91,,,1987-06-07 12:00,200.925,,,1990-09-22 12:00,221.612,,,1994-01-06 12:00,218.545,18.82,18.37,1997-04-22 12:00,210.881,44.36,42.93,2000-08-07 12:00,233.109,34.06,32.81,2003-11-21 12:00,207.281,26.68,26.38,2007-03-08 12:00,219.239,54.80,52.84,2010-06-22 12:00,226.15,43.00,41.32,2013-10-05 12:00,201.168,,
,,,,1984-02-23 12:00,244.171,,,1987-06-08 12:00,214.527,,,1990-09-23 12:00,233.616,,,1994-01-07 12:00,232.641,18.37,18.15,1997-04-23 12:00,223.545,46.63,44.13,2000-08-08 12:00,245.304,34.19,33.31,2003-11-22 12:00,222.252,,,2007-03-09 12:00,231.159,54.30,52.97,2010-06-23 12:00,239.364,41.63,40.73,2013-10-06 12:00,214.842,,
,,,,1984-02-24 12:00,257.035,,,1987-06-09 12:00,228.606,,,1990-09-24 12:00,245.504,18.98,17.99,1994-01-08 12:00,246.681,,,1997-04-24 12:00,236.448,46.51,44.96,2000-08-09 12:00,257.293,35.50,34.06,2003-11-23 12:00,237.433,,,2007-03-10 12:00,243.228,,,2010-06-24 12:00,252.344,41.11,40.31,2013-10-07 12:00,228.708,,
,,,,1984-02-25 12:00,269.575,,,1987-06-10 12:00,243.13,,,1990-09-25 12:00,257.341,18.43,17.23,1994-01-09 12:00,260.626,,,1997-04-25 12:00,249.584,45.56,41.98,2000-08-10 12:00,269.15,35.62,33.94,2003-11-24 12:00,252.671,26.86,26.50,2007-03-11 12:00,255.517,,,2010-06-25 12:00,265.092,40.84,39.33,2013-10-08 12:00,242.72,,
,,,,1984-02-26 12:00,281.866,,,1987-06-11 12:00,258.01,,,1990-09-26 12:00,269.203,17.34,16.24,1994-01-10 12:00,274.433,18.60,18.26,1997-04-26 12:00,262.94,,,2000-08-11 12:00,280.946,35.38,34.62,2003-11-25 12:00,267.798,27.72,26.89,2007-03-12 12:00,268.097,54.60,53.31,2010-06-26 12:00,277.619,,,2013-10-09 12:00,256.836,,
,,,,1984-02-27 12:00,293.977,,,1987-06-12 12:00,273.106,,,1990-09-27 12:00,281.176,16.35,15.80,1994-01-11 12:00,288.049,18.48,18.26,1997-04-27 12:00,276.5,,,2000-08-12 12:00,292.743,,,2003-11-26 12:00,282.664,27.76,27.36,2007-03-13 12:00,281.034,55.56,53.07,2010-06-27 12:00,289.94,,,2013-10-10 12:00,271.014,,
,,,,1984-02-28 12:00,305.966,,,1987-06-13 12:00,288.251,,,1990-09-28 12:00,293.348,16.57,15.58,1994-01-12 12:00,301.427,18.82,18.37,1997-04-28 12:00,290.25,38.40,34.23,2000-08-13 12:00,304.597,,,2003-11-27 12:00,297.154,,,2007-03-14 12:00,294.385,54.25,52.87,2010-06-28 12:00,302.08,40.55,39.93,2013-10-11 12:00,285.218,,
,,,,1984-02-29 12:00,317.882,,,1987-06-14 12:00,303.272,,,1990-09-29 12:00,305.803,,,1994-01-13 12:00,314.53,18.71,18.48,1997-04-29 12:00,304.173,38.40,35.54,2000-08-14 12:00,316.55,37.00,35.12,2003-11-28 12:00,311.202,27.65,27.32,2007-03-15 12:00,308.18,54.18,53.19,2010-06-29 12:00,314.076,39.51,38.93,2013-10-12 12:00,299.411,,
,,,,1984-03-01 12:00,329.759,,,1987-06-15 12:00,318.03,,,1990-09-30 12:00,318.616,,,1994-01-14 12:00,327.338,19.72,18.71,1997-04-30 12:00,318.255,39.12,37.92,2000-08-15 12:00,328.638,37.62,35.38,2003-11-29 12:00,324.789,,,2007-03-16 12:00,322.419,54.34,53.32,2010-06-30 12:00,325.97,39.84,38.65,2013-10-13 12:00,313.557,,
,,,,1984-03-02 12:00,341.624,,,1987-06-16 12:00,332.43,,,1990-10-01 12:00,331.842,16.79,16.46,1994-01-15 12:00,339.855,,,1997-05-01 12:00,332.477,39.24,37.21,2000-08-16 12:00,340.888,36.44,34.69,2003-11-30 12:00,337.934,,,2007-03-17 12:00,337.059,,,2010-07-01 12:00,337.818,39.05,37.99,2013-10-14 12:00,327.615,,
,,,,1984-03-03 12:00,353.5,,,1987-06-17 12:00,346.431,,,1990-10-02 12:00,345.504,16.90,16.57,1994-01-16 12:00,352.107,,,1997-05-02 12:00,346.81,37.92,36.26,2000-08-17 12:00,353.323,38.25,36.38,2003-12-01 12:00,350.688,28.21,27.52,2007-03-18 12:00,352.01,,,2010-07-02 12:00,349.683,38.81,38.23,2013-10-15 12:00,341.542,,
,,,,1984-03-04 12:00,5.406,,,1987-06-18 12:00,0.0360000000001,,,1990-10-03 12:00,359.585,17.01,16.68,1994-01-17 12:00,4.144,19.16,18.93,1997-05-03 12:00,1.211,,,2000-08-18 12:00,5.962,38.25,36.69,2003-12-02 12:00,3.11500000001,28.20,27.81,2007-03-19 12:00,7.143,56.10,54.07,2010-07-03 12:00,1.63499999999,,,2013-10-16 12:00,355.296,,
,,,,1984-03-05 12:00,17.37,,,1987-06-19 12:00,13.277,,,1990-10-04 12:00,14.022,16.90,16.68,1994-01-18 12:00,16.033,19.05,18.82,1997-05-04 12:00,15.619,,,2000-08-19 12:00,18.82,,,2003-12-03 12:00,15.287,28.14,27.33,2007-03-20 12:00,22.302,56.26,54.77,2010-07-04 12:00,13.746,,,2013-10-17 12:00,8.83600000001,,
,,,,1984-03-06 12:00,29.423,,,1987-06-20 12:00,26.204,,,1990-10-05 12:00,28.709,17.12,16.57,1994-01-19 12:00,27.852,19.05,18.82,1997-05-05 12:00,29.957,38.52,37.45,2000-08-20 12:00,31.918,,,2003-12-04 12:00,27.273,28.44,27.56,2007-03-21 12:00,37.329,58.09,55.91,2010-07-05 12:00,26.092,,,2013-10-18 12:00,22.129,,
