"Strong's Concordance Number","Gematria value"
G0001,1
G0002,952
G0003,862
G0004,312
G0005,6
G0006,38
G0007,14
G0008,124
G0009,109
G0010,487
G0011,145
G0012,1073
G0013,277
G0014,997
G0015,1049
G0016,255
G0017,514
G0018,284
G0019,1472
G0020,486
G0021,876
G0022,315
G0023,1181
G0024,794
G0025,886
G0026,93
G0027,663
G0028,105
G0029,1313
G0030,142
G0031,53
G0032,312
G0033,9
G0034,47
G0035,746
G0036,267
G0037,822
G0038,525
G0039,134
G0040,284
G0041,592
G0042,1472
G0043,63
G0044,754
G0045,525
G0046,825
G0047,70
G0048,871
G0049,574
G0050,929
G0051,173
G0052,135
G0053,324
G0054,632
G0055,1054
G0056,1065
G0057,1624
G0058,175
G0059,982
G0060,455
G0061,105
G0062,756
G0063,1340
G0064,1309
G0065,430
G0066,384
G0067,475
G0068,374
G0069,1439
G0070,645
G0071,804
G0072,815
G0073,854
G0074,865
G0075,992
G0076,46
G0077,407
G0078,19
G0079,548
G0080,810
G0081,1118
G0082,313
G0083,621
G0084,1043
G0085,978
G0086,213
G0087,716
G0088,711
G0089,1441
G0090,706
G0091,840
G0092,84
G0093,46
G0094,305
G0095,1035
G0096,415
G0097,375
G0098,1474
G0099,316
G0100,683
G0101,1561
G0102,1026
G0103,805
G0104,16
G0105,576
G0106,718
G0107,908
G0108,1378
G0109,109
G0110,273
G0111,635
G0112,285
G0113,525
G0114,1120
G0115,733
G0116,79
G0117,349
G0118,845
G0119,458
G0120,1255
G0121,1080
G0122,299
G0123,325
G0124,1074
G0125,1064
G0126,295
G0127,1015
G0128,800
G0129,52
G0130,1588
G0131,1196
G0132,267
G0133,476
G0134,866
G0135,115
G0136,11
G0137,911
G0138,237
G0139,526
G0140,1233
G0141,716
G0142,911
G0143,392
G0144,638
G0145,766
G0146,1318
G0147,2110
G0148,1095
G0149,1031
G0150,1181
G0151,1489
G0152,1269
G0153,2061
G0154,1116
G0155,360
G0156,322
G0157,363
G0158,441
G0159,591
G0160,855
G0161,1693
G0162,2987
G0163,2599
G0164,2052
G0165,861
