Date,Day,Mercury,Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,Isis
1995-06-01,Thu,244.417086533,18.0178449774,250.746798398,191.21926554,250.532882409,347.884179706,297.932915874,293.885857794,239.306018566,143.643562849
1995-06-02,Fri,247.184029957,19.6130463852,251.705252638,191.672494061,250.611742547,347.916982379,297.944094655,293.891863608,239.312897578,143.644579435
1995-06-03,Sat,249.94011982,21.2086556754,252.663364542,192.126134685,250.690603992,347.949779603,297.955265816,293.897861973,239.319768969,143.645588547
1995-06-04,Sun,252.688838122,22.8046744636,253.621131124,192.58019145,250.769465527,347.982570153,297.96642813,293.903851664,239.326631509,143.646588957
1995-06-05,Mon,255.433622728,24.4011058905,254.578552585,193.0346699,250.848327441,348.015354306,297.977581876,293.909832957,239.333485477,143.647580944
1995-06-06,Tue,258.177882249,25.9979547662,255.535632892,193.489577227,250.92719167,348.048133991,297.98872898,293.915807781,239.340332801,143.648566433
1995-06-07,Wed,260.92501063,27.5952276566,256.492380443,193.944922346,251.00606188,348.080912861,297.999873098,293.921779789,239.347177136,143.649549082
1995-06-08,Thu,263.678401369,29.1929327906,257.448808715,194.400715811,251.084943369,348.113696208,298.011019518,293.927754272,239.35402377,143.650534178
1995-06-09,Fri,266.441460975,30.7910793474,258.404936374,194.85696909,251.163842357,348.146490241,298.02217445,293.933737439,239.360878913,143.651527932
1995-06-10,Sat,269.217621348,32.3896757702,259.360786307,195.313692884,251.242764297,348.179300402,298.033343336,293.939734732,239.367748008,143.652535786
1995-06-11,Sun,272.010351487,33.9887274637,260.316383621,195.770894824,251.321711573,348.212129067,298.044528551,293.945748525,239.374633428,143.653560113
1995-06-12,Mon,274.82316973,35.5882350561,261.271753441,196.228577734,251.400681764,348.244973804,298.055727664,293.951776388,239.381532743,143.654598485
1995-06-13,Tue,277.659657836,37.1881945209,262.226919587,196.686739756,251.47966777,348.277827503,298.066933565,293.95781121,239.388438843,143.655643789
1995-06-14,Wed,280.523477262,38.7885994981,263.181904648,197.145376678,251.558660138,348.310680703,298.07813679,293.963843528,239.395342264,143.656686563
1995-06-15,Thu,283.41838655,40.3894447596,264.136730918,197.604485399,251.637650529,348.343525054,298.089328992,293.969864994,239.40223466,143.65771846
1995-06-16,Fri,286.348257966,41.9907289997,265.091421067,198.064066732,251.716634522,348.376356125,298.100505737,293.975871176,239.409111596,143.658735046
1995-06-17,Sat,289.317092014,43.5924556442,266.045997708,198.524126215,251.795612423,348.409174214,298.111667323,293.981862371,239.41597337,143.659736619
1995-06-18,Sun,292.329029701,45.1946316934,267.000481949,198.984672969,251.874588124,348.441983201,298.122817632,293.98784246,239.422823864,143.660727061
1995-06-19,Mon,295.388363502,46.797265697,267.954891767,199.445717677,251.953567083,348.474788536,298.133962111,293.99381689,239.429668525,143.661711818
1995-06-20,Tue,298.499547968,48.4003660497,268.909241058,199.907270894,252.032554632,348.50759554,298.145106083,293.999790986,239.436512677,143.662696215
1995-06-21,Wed,301.66721014,50.0039400955,269.863539544,200.369342162,252.111555096,348.540408529,298.156253862,294.00576906,239.443360633,143.663684564
1995-06-22,Thu,304.896159135,51.6079938089,270.817793153,200.831939702,252.190571483,348.573230502,298.167408447,294.011754113,239.450215392,143.664679866
1995-06-23,Fri,308.191393964,53.2125316506,271.772004416,201.295070289,252.269605358,348.606063012,298.178571392,294.017747697,239.457078509,143.665683675
1995-06-24,Sat,311.558108761,54.817556482,272.72617278,201.758739176,252.34865677,348.638906101,298.189742737,294.023749852,239.463950023,143.666696029
1995-06-25,Sun,315.001694719,56.4230696614,273.680294994,202.22295021,252.427724365,348.671758403,298.200921117,294.029759215,239.47082857,143.667715565
